sample_id,collection_date,farmer_id,batch_number,lab_technician,weather_condition,truck_number,collection_shift,pH,pH_duplicate,turbidity_ntu,turbidity_log,temperature_c,ammonia_content,color_score,vfa,drc,grade
LAT_00083,5/27/2022,F013,BATCH_9852,TECH_01,Sunny,WP_2876,Morning,6.577,6.5776,57.78,4.0566,28.75,0.219,2,0.037,59.05,A
LAT_00084,4/24/2022,F006,BATCH_7104,TECH_05,Rainy,WP_8954,Morning,6.238,6.2407,88.37,4.4815,29.17,0.204,3,0.053,60.23,B
LAT_00085,2/3/2025,F003,BATCH_8594,TECH_04,Rainy,WP_9203,Afternoon,6.299,6.301,79.4,4.3745,30.42,0.188,3,0.051,59.23,B
LAT_00086,11/2/2022,F012,BATCH_3573,TECH_03,Windy,WP_9041,Morning,5.305,5.3029,139.61,4.9389,29.04,0.145,5,0.095,58.64,C
LAT_00087,5/22/2022,F018,BATCH_5883,TECH_05,Sunny,WP_2024,Morning,5.569,5.5716,133.99,4.8978,32.08,0.147,5,0.089,57.96,C
LAT_00088,3/18/2023,F021,BATCH_1923,TECH_03,Cloudy,WP_5623,Morning,5.438,5.4377,131.99,4.8827,30.6,0.143,5,0.095,56.83,C
LAT_00089,11/27/2025,F020,BATCH_6389,TECH_06,Sunny,WP_5195,Morning,5.574,5.5758,129.09,4.8605,28.66,0.136,5,0.084,57.42,C
LAT_00090,6/10/2023,F002,BATCH_2974,TECH_07,Cloudy,WP_2096,Morning,6.23,6.2315,86.45,4.4596,27.83,0.182,4,0.054,59.9,B
LAT_00091,11/14/2025,F002,BATCH_3448,TECH_01,Sunny,WP_6285,Morning,6.554,6.5559,69.09,4.2354,31.95,0.215,3,0.041,58.11,A
LAT_00092,3/7/2023,F003,BATCH_5901,TECH_05,Cloudy,WP_2407,Morning,5.407,5.4056,140.75,4.947,30.82,0.135,5,0.093,56.96,C
LAT_00093,8/8/2023,F008,BATCH_5553,TECH_05,Cloudy,WP_2092,Morning,5.446,5.4458,140.33,4.944,29.44,0.141,5,0.094,58.79,C
LAT_00094,7/24/2024,F012,BATCH_3305,TECH_01,Cloudy,WP_1916,Afternoon,6.491,6.4907,65.59,4.1834,30.58,0.21,3,0.041,58.07,A
LAT_00095,11/20/2024,F026,BATCH_3510,TECH_02,Cloudy,WP_2767,Morning,5.65,5.6493,127.17,4.8455,28.26,0.161,5,0.085,56.67,C
LAT_00096,6/8/2024,F027,BATCH_1156,TECH_04,Sunny,WP_8391,Morning,6.534,6.5343,67.2,4.2077,30.41,0.22,3,0.039,61.4,A
LAT_00097,10/4/2022,F009,BATCH_4640,TECH_04,Sunny,WP_7043,Morning,6.469,6.4703,71.08,4.2638,29.29,0.21,3,0.044,61.2,A
LAT_00098,1/13/2024,F006,BATCH_7770,TECH_07,Cloudy,WP_2714,Morning,5.522,5.5207,130.45,4.871,28.31,0.13,5,0.089,58.07,C
LAT_00099,9/29/2022,F025,BATCH_6290,TECH_05,Cloudy,WP_5163,Morning,6.718,6.7192,49.05,3.8928,27.43,0.251,2,0.029,59.78,A
LAT_00100,2/16/2025,F022,BATCH_2931,TECH_02,Windy,WP_1382,Morning,5.429,5.429,136.13,4.9136,32.52,0.133,5,0.094,58.21,C
LAT_00101,5/6/2025,F016,BATCH_5812,TECH_02,Windy,WP_5192,Morning,6.044,6.045,98.06,4.5856,29.01,0.184,4,0.064,58.67,B
LAT_00102,3/27/2025,F002,BATCH_8571,TECH_03,Sunny,WP_9765,Morning,6.61,6.6102,57.24,4.0473,30.78,0.233,3,0.038,59.74,A
LAT_00103,4/6/2023,F009,BATCH_5880,TECH_07,Windy,WP_9716,Afternoon,5.787,5.7853,121.7,4.8016,31.13,0.156,4,0.076,57.53,B
LAT_00104,6/14/2023,F001,BATCH_6414,TECH_03,Cloudy,WP_4893,Morning,6.217,6.2169,88.46,4.4826,30.03,0.211,3,0.055,58.26,B
LAT_00105,1/18/2022,F001,BATCH_7317,TECH_04,Windy,WP_4355,Morning,5.822,5.8211,1500,7.3132,29.5,0.152,4,0.078,56.38,B
LAT_00106,4/26/2025,F002,BATCH_6361,TECH_07,Rainy,WP_2877,Morning,6.341,6.3437,77.95,4.3561,30.57,0.205,3,0.048,61.22,A
LAT_00107,5/11/2023,F020,BATCH_2821,TECH_01,Windy,WP_6904,Morning,5.843,5.841,97.03,4.575,29.44,0.179,4,0.069,58.08,B
LAT_00108,4/15/2025,F015,BATCH_1793,TECH_04,Sunny,WP_2328,Morning,6.146,6.1464,87.46,4.4712,31.14,0.195,4,0.057,56.46,B
LAT_00109,4/25/2022,F005,BATCH_2535,TECH_04,Sunny,WP_3637,Morning,5.69,5.6884,134.91,4.9046,28.91,0.142,5,0.085,55.44,C
LAT_00110,2/21/2024,F004,BATCH_9589,TECH_02,Rainy,WP_3829,Morning,5.565,5.5645,134.91,4.9046,28.25,0.147,5,0.087,56.73,C
LAT_00111,11/11/2025,F019,BATCH_9446,TECH_06,Windy,WP_8919,Morning,5.688,5.6877,118.57,4.7755,30.7,0.146,4,0.079,56.13,B
LAT_00112,2/25/2025,F027,BATCH_7256,TECH_03,Rainy,WP_3448,Morning,5.364,5.3654,149.09,5.0046,29.19,0.125,5,0.097,58.45,C
LAT_00113,4/4/2023,F017,BATCH_7880,TECH_03,Windy,WP_7405,Morning,6.096,6.0952,91.02,4.5111,28.44,0.207,4,0.06,56.84,B
LAT_00114,9/7/2025,F013,BATCH_4864,TECH_05,Sunny,WP_2974,Morning,5.643,5.6472,122.54,4.8084,27.92,0.129,5,0.083,58.63,C
LAT_00115,10/22/2024,F022,BATCH_5132,TECH_02,Windy,WP_8791,Morning,6.014,6.0138,92.39,4.526,28.74,0.179,4,0.062,57.35,B
LAT_00116,5/26/2022,F014,BATCH_3828,TECH_04,Sunny,WP_9444,Morning,5.931,5.9346,108.06,4.6827,30.11,0.188,4,0.071,60.37,B
LAT_00117,9/22/2023,F019,BATCH_8183,TECH_07,Windy,WP_1251,Morning,5.451,5.4538,142.45,4.959,32.1,0.152,5,0.095,58.47,C
LAT_00118,4/16/2025,F026,BATCH_1220,TECH_02,Rainy,WP_6244,Morning,5.579,5.5767,131.55,4.8794,30.5,0.132,5,0.09,57.11,C
LAT_00119,2/19/2025,F005,BATCH_8702,TECH_04,Windy,WP_9984,Morning,6.169,6.1698,82.41,4.4117,31.35,0.193,4,0.055,56.33,B
LAT_00120,10/29/2022,F003,BATCH_2915,TECH_07,Rainy,WP_9512,Morning,5.644,5.6422,118.94,4.7786,32.22,0.168,5,0.082,57.66,C
LAT_00121,5/6/2024,F011,BATCH_5557,TECH_02,Rainy,WP_5655,Morning,6.762,6.7606,47.21,3.8546,30.97,0.253,2,0.029,60.35,A
LAT_00122,8/17/2022,F008,BATCH_3610,TECH_07,Sunny,WP_6734,Morning,5.999,5.9972,94.85,4.5523,28.93,0.181,4,0.066,58.52,B
LAT_00123,1/18/2025,F024,BATCH_1756,TECH_03,Sunny,WP_7294,Morning,6.56,6.5576,70.33,4.2532,30.62,0.223,2,0.039,59.01,A
LAT_00124,2/4/2026,F001,BATCH_4274,TECH_06,Sunny,WP_5752,Morning,5.745,5.746,120.37,4.7906,29.46,0.152,5,0.078,57.33,B
LAT_00125,12/14/2022,F024,BATCH_9668,TECH_05,Rainy,WP_4205,Morning,6.557,6.5573,53.68,3.983,30.29,0.226,3,0.034,58.06,A
LAT_00126,9/26/2024,F003,BATCH_9042,TECH_01,Rainy,WP_4552,Morning,6.206,6.2028,80.74,4.3912,32.2,0.195,3,0.052,56.18,B
LAT_00127,8/19/2023,F001,BATCH_7246,TECH_01,Cloudy,WP_7211,Morning,5.7,5.699,119.18,4.7806,30.13,0.176,4,0.082,55.77,C
LAT_00128,5/7/2023,F004,BATCH_1318,TECH_01,Cloudy,WP_9904,Morning,6.747,6.7432,48.1,3.8733,31.21,0.241,2,0.028,59.9,A
LAT_00129,8/27/2025,F025,BATCH_4145,TECH_03,Rainy,WP_7208,Morning,6.542,6.5405,63.49,4.1509,30.3,0.207,3,0.038,61.24,A
LAT_00130,6/11/2023,F013,BATCH_3632,TECH_01,Cloudy,WP_4840,Morning,5.726,5.7245,106.82,4.6711,29.19,0.188,4,0.075,57.44,B
LAT_00131,1/31/2026,F014,BATCH_2239,TECH_01,Sunny,WP_7456,Morning,6.046,6.0457,96.51,4.5696,27.93,0.191,4,0.067,57.12,B
LAT_00132,11/14/2022,F003,BATCH_6905,TECH_06,Sunny,WP_3345,Morning,6.484,6.4823,72.86,4.2885,31.27,0.209,3,0.042,60.92,A
LAT_00133,9/18/2024,F007,BATCH_6873,TECH_01,Cloudy,WP_9259,Morning,5.56,5.5562,131.56,4.8795,27.98,0.161,5,0.088,57.47,C
LAT_00134,3/12/2026,F020,BATCH_1464,TECH_07,Cloudy,WP_3436,Morning,5.62,5.6195,133.66,4.8953,28.15,0.156,5,0.089,58.45,C
LAT_00135,6/12/2024,F009,BATCH_1739,TECH_06,Windy,WP_5993,Morning,6.551,6.5515,56.3,4.0307,31.07,0.215,2,0.035,59.61,A
LAT_00136,4/21/2025,F028,BATCH_6988,TECH_01,Rainy,WP_4094,Morning,5.679,5.6818,121.04,4.7961,29.96,0.145,5,0.085,57.69,C
LAT_00137,1/19/2023,F003,BATCH_8953,TECH_06,Cloudy,WP_1175,Morning,1.2,1.2024,115.63,4.7504,32.46,0.174,4,0.072,57.19,B
LAT_00138,7/15/2024,F001,BATCH_6868,TECH_04,Cloudy,WP_6827,Morning,5.86,5.8559,110.13,4.7017,28.64,0.151,5,0.074,59.07,B
LAT_00139,12/13/2024,F027,BATCH_4157,TECH_05,Cloudy,WP_7971,Morning,5.664,5.6619,123.65,4.8175,29.61,0.173,5,0.084,57.71,C
LAT_00140,4/24/2022,F029,BATCH_7148,TECH_04,Windy,WP_2832,Morning,5.589,5.5878,133.82,4.8965,32.38,0.14,5,0.086,56.32,C
LAT_00141,10/6/2024,F029,BATCH_7678,TECH_04,Rainy,WP_1450,Morning,6.611,6.6112,55.88,4.0232,28.99,0.225,3,0.036,61.52,A
LAT_00142,1/28/2025,F013,BATCH_4561,TECH_02,Sunny,WP_1626,Morning,6.477,6.4755,64.14,4.1611,29.35,0.221,3,0.041,60.32,A
LAT_00143,2/26/2026,F024,BATCH_7373,TECH_04,Cloudy,WP_9310,Morning,6.61,6.6114,63.59,4.1525,31.2,0.224,3,0.036,58.03,A
LAT_00144,7/24/2024,F017,BATCH_5461,TECH_05,Windy,WP_7223,Morning,5.667,5.6682,122.23,4.8059,30.83,0.14,5,0.083,58.06,C
LAT_00145,11/20/2024,F028,BATCH_6595,TECH_03,Sunny,WP_4268,Morning,5.484,5.487,136.86,4.919,28.73,0.146,5,0.091,55.39,C
LAT_00146,9/28/2023,F027,BATCH_3500,TECH_02,Cloudy,WP_2633,Morning,6.758,6.7583,47.35,3.8576,27.9,0.242,3,0.03,60.93,A
LAT_00147,8/5/2023,F025,BATCH_2664,TECH_06,Cloudy,WP_9554,Morning,5.505,5.5049,134.88,4.9044,29.2,0.159,5,0.092,59.36,C
LAT_00148,12/17/2022,F015,BATCH_9860,TECH_06,Windy,WP_6405,Morning,6.69,6.6882,56.62,4.0364,32.09,0.255,2,0.031,59.87,A
LAT_00149,2/9/2022,F025,BATCH_3299,TECH_06,Cloudy,WP_4352,Morning,5.844,5.8438,111.28,4.712,30.31,0.157,4,0.077,59.21,B
LAT_00150,4/20/2025,F026,BATCH_6369,TECH_06,Windy,WP_6772,Afternoon,6.552,6.5517,62.5,4.1352,28.5,0.228,3,0.04,60.98,A
LAT_00151,3/27/2026,F009,BATCH_4997,TECH_01,Rainy,WP_7130,Morning,6.188,6.185,88.72,4.4855,29.94,0.198,4,0.057,57.94,B
LAT_00152,1/27/2025,F013,BATCH_6956,TECH_04,Rainy,WP_4864,Morning,5.895,5.8947,102.15,4.6264,31.52,0.175,4,0.07,57.91,B
LAT_00153,7/9/2025,F017,BATCH_6016,TECH_01,Cloudy,WP_1945,Morning,5.546,5.5451,125.71,4.834,28.29,0.15,4,0.086,56.71,C
LAT_00154,10/6/2024,F009,BATCH_9902,TECH_07,Rainy,WP_2447,Morning,5.585,5.5822,121.56,4.8004,30.48,0.148,5,0.086,59,C
LAT_00155,3/20/2022,F025,BATCH_1065,TECH_05,Cloudy,WP_8756,Morning,5.445,5.4438,130.79,4.8736,28.87,0.149,5,0.089,58.4,C
LAT_00156,3/22/2026,F016,BATCH_7397,TECH_01,Sunny,WP_1199,Morning,5.703,5.7023,126.84,4.8429,28.43,0.152,5,0.083,56.57,C
LAT_00157,3/12/2022,F029,BATCH_3634,TECH_03,Windy,WP_5831,Morning,6.692,6.6957,57.27,4.0478,30.97,0.232,3,0.036,60.56,A
LAT_00158,9/18/2023,F017,BATCH_3976,TECH_05,Cloudy,WP_8730,Morning,5.901,5.9016,105.79,4.6615,31.45,0.174,4,0.071,57.29,B
LAT_00159,2/4/2025,F009,BATCH_2782,TECH_07,Rainy,WP_3642,Morning,5.67,5.668,118.02,4.7709,29.47,0.168,5,0.08,57.68,C
LAT_00160,1/24/2025,F023,BATCH_7680,TECH_07,Windy,WP_8141,Morning,5.695,5.695,124.85,4.8271,29.15,0.167,5,0.084,55.32,C
LAT_00161,10/10/2022,F013,BATCH_3805,TECH_04,Sunny,WP_5086,Morning,6.472,6.4773,67.75,4.2158,27.4,0.209,3,0.042,60.6,A
LAT_00162,3/12/2025,F011,BATCH_9461,TECH_07,Windy,WP_8286,Morning,5.593,5.5916,121.37,4.7988,29.1,0.148,5,0.085,57.65,C
LAT_00163,1/12/2026,F015,BATCH_1522,TECH_01,Windy,WP_4106,Morning,5.544,5.5477,128.76,4.858,31.94,0.154,5,0.087,55.72,C
LAT_00164,9/14/2023,F011,BATCH_6737,TECH_06,Rainy,WP_1703,Morning,6.497,6.499,63.37,4.149,27.32,0.231,3,0.038,59.69,A
