tapping_id,farmer_id,district,tapping_date,tapping_time,tapping_hour,tapping_minute,collection_time,collection_gap_hours,storage_duration_hours,latex_quantity_kg,ammonia_added,ammonia_amount_ml,container_type,experience
T00172,F0275,Kalutara,2024-01-02,10:22,10,22,14:39,4.3,8.7,0.92,True,9.8,Closed Container,Less than 1 year
T07938,F0734,Galle,2024-01-02,10:30,10,30,14:23,3.9,5.1,0.53,True,6.9,Cup,Less than 1 year
T00489,F0418,Kegalle,2024-01-02,7:33,7,33,10:09,2.6,5.5,3.26,False,0.0,Closed Container,5 - 10 years
T08445,F0699,Ratnapura,2024-01-02,6:23,6,23,9:23,3.0,3.5,6.31,True,6.0,Open Container,5 - 10 years
T00093,F0472,Kegalle,2024-01-02,8:26,8,26,11:02,2.6,5.6,1.96,True,6.1,Closed Container,3 - 5 years
T03831,F0515,Kegalle,2024-01-02,7:02,7,2,10:25,3.4,5.0,3.13,True,6.4,Closed Container,5 - 10 years
T03456,F0878,Matara,2024-01-02,8:31,8,31,12:43,4.2,3.5,0.73,True,7.5,Open Container,3 - 5 years
T08898,F0233,Kalutara,2024-01-02,7:31,7,31,10:37,3.1,5.0,0.54,True,7.8,Closed Container,1 - 3 years
T07561,F0937,Kandy,2024-01-02,8:33,8,33,12:57,4.4,9.6,1.38,False,0.0,Bucket,1 - 3 years
T02576,F0434,Kegalle,2024-01-03,7:39,7,39,10:15,2.6,2.4,1.59,False,0.0,Closed Container,5 - 10 years
T08022,F0213,Kalutara,2024-01-03,5:57,5,57,9:03,3.1,2.5,2.49,True,8.2,Bucket,5 - 10 years
T07087,F0808,Galle,2024-01-03,8:55,8,55,12:48,3.9,3.9,1.48,True,6.9,Closed Container,3 - 5 years
T07153,F0218,Kalutara,2024-01-03,5:00,5,0,7:12,2.2,1.6,2.93,True,3.9,Closed Container,More than 10 years
T05763,F0249,Kalutara,2024-01-03,6:01,6,1,9:18,3.3,6.5,1.74,True,3.1,Closed Container,3 - 5 years
T03851,F0133,Kalutara,2024-01-03,7:07,7,7,10:24,3.3,8.0,1.37,False,0.0,Closed Container,3 - 5 years
T06916,F0229,Kalutara,2024-01-03,7:58,7,58,12:28,4.5,6.3,0.68,False,0.0,Cup,Less than 1 year
T01092,F0394,Kegalle,2024-01-03,6:54,6,54,9:54,3.0,7.4,1.94,False,0.0,Closed Container,1 - 3 years
T01870,F0768,Galle,2024-01-03,8:34,8,34,11:21,2.8,6.3,1.39,True,5.4,Open Container,3 - 5 years
T07317,F0708,Galle,2024-01-04,7:37,7,37,10:37,3.0,4.1,1.84,True,7.0,Open Container,5 - 10 years
T06785,F0316,Kegalle,2024-01-04,6:56,6,56,11:13,4.3,3.1,1.5,False,0.0,Open Container,3 - 5 years
T05068,F0736,Galle,2024-01-04,8:54,8,54,13:41,4.8,7.0,1.75,True,3.6,Closed Container,1 - 3 years
T06133,F0146,Kalutara,2024-01-04,9:39,9,39,12:51,3.2,9.2,0.76,False,0.0,Cup,1 - 3 years
T07821,F0712,Galle,2024-01-04,5:32,5,32,8:19,2.8,5.2,2.05,True,7.5,Closed Container,5 - 10 years
T07408,F0147,Kalutara,2024-01-04,8:12,8,12,11:24,3.2,5.6,1.63,False,0.0,Closed Container,3 - 5 years
T02399,F0247,Kalutara,2024-01-04,7:54,7,54,10:30,2.6,5.2,3.87,True,9.7,Bucket,5 - 10 years
T03105,F0011,Kalutara,2024-01-04,4:22,4,22,7:15,2.9,2.6,3.57,False,0.0,Closed Container,5 - 10 years
T04583,F0336,Kegalle,2024-01-05,7:14,7,14,10:31,3.3,5.1,1.26,True,8.3,Closed Container,3 - 5 years
T09734,F0622,Ratnapura,2024-01-05,6:09,6,9,9:39,3.5,6.9,1.23,False,0.0,Closed Container,1 - 3 years
T07608,F0079,Kalutara,2024-01-05,8:10,8,10,10:46,2.6,4.9,2.14,True,3.5,Closed Container,3 - 5 years
T02943,F0845,Colombo,2024-01-05,6:21,6,21,8:21,2.0,2.7,2.11,True,9.2,Closed Container,5 - 10 years
T03041,F0896,Matara,2024-01-05,5:48,5,48,10:18,4.5,7.5,0.65,False,0.0,Cup,1 - 3 years
T09351,F0874,Matara,2024-01-05,8:28,8,28,12:52,4.4,6.0,1.47,True,3.3,Closed Container,3 - 5 years
T09301,F0851,Colombo,2024-01-05,9:42,9,42,14:29,4.8,5.7,0.68,False,0.0,Closed Container,1 - 3 years
T08743,F0727,Galle,2024-01-05,5:37,5,37,8:13,2.6,4.5,1.27,False,0.0,Open Container,3 - 5 years
T01149,F0546,Kegalle,2024-01-06,7:33,7,33,13:38,6.1,13.3,0.55,True,3.2,Open Container,Less than 1 year
T08518,F0417,Kegalle,2024-01-06,6:30,6,30,9:06,2.6,3.0,5.34,True,8.3,Closed Container,More than 10 years
T02461,F0876,Matara,2024-01-06,9:14,9,14,14:38,5.4,4.2,0.72,False,0.0,Closed Container,1 - 3 years
T03747,F0371,Kegalle,2024-01-06,6:46,6,46,8:39,1.9,3.5,5.3,True,7.5,Closed Container,More than 10 years
T07690,F0086,Kalutara,2024-01-06,6:31,6,31,11:55,5.4,4.3,1.91,True,6.5,Open Container,1 - 3 years
T02052,F0324,Kegalle,2024-01-06,9:23,9,23,14:40,5.3,9.6,1.62,True,6.6,Cup,1 - 3 years
T03773,F0153,Kalutara,2024-01-06,6:09,6,9,8:45,2.6,4.5,1.17,True,8.8,Closed Container,5 - 10 years
T05629,F0018,Kalutara,2024-01-07,7:06,7,6,10:59,3.9,4.1,1.55,True,3.5,Cup,3 - 5 years
T05752,F0116,Kalutara,2024-01-07,6:48,6,48,9:35,2.8,6.6,1.57,True,8.8,Bucket,3 - 5 years
T09324,F0180,Kalutara,2024-01-07,6:07,6,7,10:19,4.2,4.8,1.28,True,8.8,Closed Container,3 - 5 years
T07723,F0696,Ratnapura,2024-01-07,9:10,9,10,12:16,3.1,8.5,1.34,False,0.0,Closed Container,1 - 3 years
T00138,F0620,Ratnapura,2024-01-07,4:55,4,55,6:37,1.7,3.0,3.51,False,0.0,Closed Container,More than 10 years
T06690,F0489,Kegalle,2024-01-07,5:19,5,19,8:25,3.1,3.1,1.01,True,4.9,Open Container,5 - 10 years
T06046,F0491,Kegalle,2024-01-07,5:18,5,18,6:54,1.6,1.6,3.05,True,5.3,Closed Container,More than 10 years
T08689,F0788,Galle,2024-01-07,10:19,10,19,15:19,5.0,9.0,0.72,False,0.0,Bucket,Less than 1 year
T02877,F0392,Kegalle,2024-01-07,5:50,5,50,8:37,2.8,2.8,5.31,True,5.7,Closed Container,5 - 10 years
T05976,F0313,Kegalle,2024-01-08,9:42,9,42,13:12,3.5,8.2,0.64,False,0.0,Bucket,Less than 1 year
T06679,F0532,Kegalle,2024-01-08,7:03,7,3,11:20,4.3,7.7,1.75,True,3.5,Cup,3 - 5 years
T02422,F0278,Kalutara,2024-01-08,6:51,6,51,10:33,3.7,4.1,2.23,False,0.0,Bucket,1 - 3 years
T08117,F0140,Kalutara,2024-01-08,8:15,8,15,14:02,5.8,13.4,0.92,False,0.0,Closed Container,Less than 1 year
T06688,F0624,Ratnapura,2024-01-08,8:10,8,10,11:46,3.6,8.4,0.67,False,0.0,Bucket,1 - 3 years
T01949,F0362,Kegalle,2024-01-08,5:44,5,44,8:50,3.1,3.1,1.66,True,9.4,Closed Container,5 - 10 years
T08975,F0058,Kalutara,2024-01-08,5:42,5,42,7:59,2.3,2.4,1.55,True,7.1,Open Container,5 - 10 years
T05040,F0667,Ratnapura,2024-01-08,5:21,5,21,6:51,1.5,1.7,7.55,True,4.6,Closed Container,More than 10 years
T04040,F0778,Galle,2024-01-08,4:56,4,56,8:13,3.3,5.7,4.28,True,3.3,Cup,5 - 10 years
T02794,F0547,Kegalle,2024-01-08,5:26,5,26,7:14,1.8,2.5,2.22,True,4.1,Closed Container,More than 10 years
T09684,F0911,Matara,2024-01-08,6:55,6,55,10:18,3.4,2.8,2.86,True,6.1,Closed Container,5 - 10 years
T01388,F0271,Kalutara,2024-01-08,5:43,5,43,10:25,4.7,9.2,1.87,False,0.0,Closed Container,1 - 3 years
T07233,F0507,Kegalle,2024-01-08,4:35,4,35,7:05,2.5,1.6,5.34,True,6.8,Closed Container,More than 10 years
T02880,F0735,Galle,2024-01-08,10:58,10,58,16:28,5.5,9.2,1.59,False,0.0,Bucket,Less than 1 year
T04973,F0674,Ratnapura,2024-01-08,6:03,6,3,9:20,3.3,5.3,0.97,False,0.0,Closed Container,1 - 3 years
T07221,F0887,Matara,2024-01-08,8:41,8,41,11:58,3.3,6.7,1.18,True,9.3,Closed Container,3 - 5 years
T00457,F0656,Ratnapura,2024-01-08,5:13,5,13,9:00,3.8,6.9,1.57,True,3.7,Closed Container,3 - 5 years
T09455,F0678,Ratnapura,2024-01-09,5:35,5,35,8:58,3.4,3.2,0.96,True,4.9,Bucket,5 - 10 years
T00111,F0269,Kalutara,2024-01-09,5:58,5,58,9:40,3.7,5.5,1.7,True,8.6,Open Container,3 - 5 years
T05780,F0441,Kegalle,2024-01-09,5:58,5,58,9:04,3.1,3.4,2.64,True,8.4,Closed Container,3 - 5 years
T06812,F0503,Kegalle,2024-01-09,7:49,7,49,11:06,3.3,5.2,0.75,True,9.3,Bucket,1 - 3 years
T02243,F0889,Matara,2024-01-09,5:48,5,48,10:18,4.5,7.2,1.02,False,0.0,Closed Container,1 - 3 years
T01941,F0305,Kegalle,2024-01-09,6:42,6,42,8:42,2.0,1.4,4.29,True,8.8,Closed Container,More than 10 years
T08276,F0461,Kegalle,2024-01-09,6:42,6,42,11:06,4.4,6.0,0.76,False,0.0,Closed Container,1 - 3 years
T09182,F0568,Ratnapura,2024-01-09,5:23,5,23,8:23,3.0,5.9,6.43,True,6.6,Open Container,5 - 10 years
T00890,F0672,Ratnapura,2024-01-09,5:29,5,29,8:41,3.2,4.0,0.91,False,0.0,Bucket,3 - 5 years
T00513,F0107,Kalutara,2024-01-09,4:43,4,43,7:00,2.3,4.3,1.33,True,6.8,Closed Container,5 - 10 years
T00852,F0025,Kalutara,2024-01-09,5:57,5,57,8:14,2.3,3.8,6.15,True,6.8,Open Container,More than 10 years
T08023,F0167,Kalutara,2024-01-09,5:09,5,9,8:09,3.0,4.6,2.43,True,8.1,Open Container,5 - 10 years
T09921,F0832,Colombo,2024-01-09,7:10,7,10,10:16,3.1,5.6,1.15,True,3.7,Closed Container,3 - 5 years
T08567,F0950,Kandy,2024-01-10,6:05,6,5,8:05,2.0,3.9,6.92,False,0.0,Closed Container,More than 10 years
T00032,F0120,Kalutara,2024-01-10,8:39,8,39,14:09,5.5,10.0,0.73,True,4.9,Cup,1 - 3 years
T01068,F0263,Kalutara,2024-01-10,6:29,6,29,8:46,2.3,3.2,3.95,True,4.9,Closed Container,More than 10 years
T08010,F0295,Kalutara,2024-01-10,5:28,5,28,9:21,3.9,4.6,1.25,True,8.9,Closed Container,1 - 3 years
T09859,F0988,Kurunegala,2024-01-10,4:31,4,31,6:54,2.4,4.3,5.25,True,4.5,Open Container,5 - 10 years
T04575,F0971,Kurunegala,2024-01-10,7:17,7,17,11:41,4.4,7.4,2.34,False,0.0,Bucket,3 - 5 years
T08935,F0091,Kalutara,2024-01-10,5:13,5,13,6:55,1.7,3.1,4.59,True,5.5,Closed Container,More than 10 years
T08001,F0290,Kalutara,2024-01-10,6:41,6,41,12:05,5.4,4.0,1.1,False,0.0,Bucket,1 - 3 years
T05320,F0049,Kalutara,2024-01-10,6:05,6,5,9:17,3.2,5.6,1.44,True,5.7,Closed Container,3 - 5 years
T00987,F0612,Ratnapura,2024-01-10,6:17,6,17,12:22,6.1,5.1,0.87,False,0.0,Closed Container,Less than 1 year
T00335,F0637,Ratnapura,2024-01-10,7:00,7,0,11:00,4.0,4.9,2.25,True,4.4,Cup,3 - 5 years
T05067,F0828,Colombo,2024-01-10,7:20,7,20,9:50,2.5,2.5,3.45,True,8.8,Closed Container,5 - 10 years
T01038,F0179,Kalutara,2024-01-11,8:43,8,43,12:13,3.5,6.7,2.0,True,10.0,Bucket,3 - 5 years
T05933,F0490,Kegalle,2024-01-11,5:08,5,8,9:20,4.2,7.5,2.38,False,0.0,Bucket,3 - 5 years
T07201,F0820,Galle,2024-01-11,8:03,8,3,12:27,4.4,6.6,1.01,True,3.2,Closed Container,3 - 5 years
T05210,F0341,Kegalle,2024-01-11,8:04,8,4,11:16,3.2,9.2,0.39,False,0.0,Open Container,1 - 3 years
T07070,F0385,Kegalle,2024-01-11,5:33,5,33,8:45,3.2,4.1,2.73,False,0.0,Open Container,3 - 5 years
T02354,F0592,Ratnapura,2024-01-11,7:29,7,29,11:41,4.2,5.9,0.86,False,0.0,Closed Container,1 - 3 years
T07670,F0006,Kalutara,2024-01-11,6:52,6,52,11:04,4.2,6.3,2.76,True,8.2,Closed Container,3 - 5 years
T08453,F0518,Kegalle,2024-01-11,5:55,5,55,9:01,3.1,2.9,3.29,True,6.6,Closed Container,5 - 10 years
T02969,F0445,Kegalle,2024-01-11,4:00,4,0,5:42,1.7,2.9,4.73,True,6.9,Closed Container,More than 10 years
T07502,F0773,Galle,2024-01-11,4:17,4,17,7:04,2.8,3.9,6.22,True,5.0,Closed Container,More than 10 years
T03836,F0583,Ratnapura,2024-01-12,5:57,5,57,9:14,3.3,2.6,3.75,True,8.6,Closed Container,5 - 10 years
T01586,F0794,Galle,2024-01-12,8:16,8,16,12:28,4.2,7.7,0.2,False,0.0,Open Container,Less than 1 year
T02562,F0724,Galle,2024-01-12,8:26,8,26,12:26,4.0,9.8,2.48,False,0.0,Open Container,1 - 3 years
T03626,F0991,Kurunegala,2024-01-12,8:27,8,27,12:32,4.1,9.5,1.2,True,7.7,Closed Container,1 - 3 years
T09914,F0352,Kegalle,2024-01-12,7:06,7,6,10:06,3.0,3.3,2.54,True,7.2,Bucket,5 - 10 years
T03765,F0350,Kegalle,2024-01-12,8:37,8,37,11:13,2.6,3.2,2.76,True,7.5,Closed Container,3 - 5 years
T04530,F0598,Ratnapura,2024-01-12,5:43,5,43,10:18,4.6,5.7,0.96,True,7.9,Open Container,1 - 3 years
T06881,F0194,Kalutara,2024-01-13,7:35,7,35,11:05,3.5,5.9,1.5,True,4.5,Open Container,3 - 5 years
T07893,F0209,Kalutara,2024-01-13,6:55,6,55,11:07,4.2,7.8,0.83,False,0.0,Open Container,1 - 3 years
T08880,F0881,Matara,2024-01-13,6:51,6,51,10:21,3.5,7.3,0.65,True,4.9,Closed Container,1 - 3 years
T03309,F0213,Kalutara,2024-01-13,6:04,6,4,8:40,2.6,3.7,4.43,False,0.0,Closed Container,5 - 10 years
T00344,F0626,Ratnapura,2024-01-13,4:53,4,53,7:35,2.7,1.7,4.46,True,9.6,Closed Container,More than 10 years
T04423,F0650,Ratnapura,2024-01-13,6:54,6,54,9:54,3.0,6.0,1.09,True,4.5,Open Container,5 - 10 years
T06894,F0466,Kegalle,2024-01-13,4:52,4,52,7:45,2.9,4.5,3.67,True,8.9,Open Container,5 - 10 years
T09634,F0125,Kalutara,2024-01-14,5:11,5,11,8:17,3.1,5.2,1.9,True,5.4,Closed Container,5 - 10 years
T01954,F0597,Ratnapura,2024-01-14,5:51,5,51,9:51,4.0,4.8,1.42,True,9.1,Closed Container,3 - 5 years
T08188,F0739,Galle,2024-01-14,6:59,6,59,9:05,2.1,1.5,5.81,False,0.0,Closed Container,More than 10 years
T03111,F0254,Kalutara,2024-01-14,8:50,8,50,12:02,3.2,4.5,1.3,True,8.6,Open Container,3 - 5 years
T00739,F0383,Kegalle,2024-01-14,6:33,6,33,9:39,3.1,6.9,2.37,False,0.0,Closed Container,3 - 5 years
T04292,F0584,Ratnapura,2024-01-14,6:18,6,18,8:30,2.2,4.6,4.18,True,5.5,Closed Container,5 - 10 years
T03382,F0032,Kalutara,2024-01-14,5:26,5,26,7:26,2.0,3.8,1.39,True,7.6,Closed Container,5 - 10 years
T05207,F0498,Kegalle,2024-01-14,4:23,4,23,7:16,2.9,2.1,4.0,True,6.6,Closed Container,5 - 10 years
T04776,F0423,Kegalle,2024-01-15,4:44,4,44,7:56,3.2,3.8,3.94,True,9.2,Closed Container,5 - 10 years
T02669,F0547,Kegalle,2024-01-15,6:20,6,20,8:32,2.2,2.9,2.55,True,5.4,Open Container,More than 10 years
T01608,F0351,Kegalle,2024-01-15,5:05,5,5,9:52,4.8,6.7,1.04,False,0.0,Closed Container,1 - 3 years
T08757,F0067,Kalutara,2024-01-15,6:09,6,9,8:09,2.0,4.8,2.89,True,5.3,Open Container,5 - 10 years
T08809,F0047,Kalutara,2024-01-15,4:05,4,5,7:11,3.1,2.4,3.43,True,9.6,Closed Container,5 - 10 years
T02731,F0545,Kegalle,2024-01-15,9:20,9,20,13:02,3.7,6.6,1.69,True,6.6,Closed Container,1 - 3 years
T04192,F0318,Kegalle,2024-01-15,6:30,6,30,8:18,1.8,2.5,3.71,False,0.0,Closed Container,More than 10 years
T09181,F0239,Kalutara,2024-01-15,4:00,4,0,6:06,2.1,4.7,1.57,True,5.4,Closed Container,5 - 10 years
T05130,F0036,Kalutara,2024-01-16,7:43,7,43,11:13,3.5,4.2,0.4,False,0.0,Open Container,1 - 3 years
T07565,F0300,Kalutara,2024-01-16,5:57,5,57,7:45,1.8,3.5,5.48,True,5.3,Open Container,More than 10 years
T07646,F0962,Kurunegala,2024-01-16,4:18,4,18,7:00,2.7,2.8,1.48,True,6.7,Open Container,5 - 10 years
T05479,F0063,Kalutara,2024-01-16,6:07,6,7,10:19,4.2,7.5,0.37,False,0.0,Closed Container,Less than 1 year
T03312,F0519,Kegalle,2024-01-16,6:10,6,10,10:15,4.1,4.3,1.11,True,6.8,Closed Container,3 - 5 years
T02478,F0316,Kegalle,2024-01-16,8:11,8,11,11:53,3.7,7.3,2.56,True,9.3,Closed Container,3 - 5 years
T00537,F0664,Ratnapura,2024-01-16,8:13,8,13,11:25,3.2,4.6,2.56,False,0.0,Closed Container,3 - 5 years
T01300,F0352,Kegalle,2024-01-16,5:06,5,6,8:12,3.1,5.2,1.44,True,5.3,Closed Container,5 - 10 years
T08393,F0295,Kalutara,2024-01-16,7:20,7,20,11:02,3.7,7.4,1.2,True,9.0,Open Container,1 - 3 years
T04277,F0617,Ratnapura,2024-01-16,4:37,4,37,7:49,3.2,2.3,1.65,True,6.9,Closed Container,5 - 10 years
T00680,F0254,Kalutara,2024-01-17,5:21,5,21,7:57,2.6,6.9,0.72,True,8.6,Open Container,3 - 5 years
T02217,F0920,Matara,2024-01-17,6:29,6,29,12:29,6.0,13.6,0.93,True,3.4,Open Container,Less than 1 year
T03969,F0117,Kalutara,2024-01-17,5:32,5,32,9:44,4.2,8.7,1.07,True,6.2,Closed Container,1 - 3 years
T04816,F0643,Ratnapura,2024-01-17,7:00,7,0,9:30,2.5,4.6,1.92,True,6.0,Closed Container,3 - 5 years
T03633,F0061,Kalutara,2024-01-17,6:47,6,47,11:47,5.0,6.8,0.62,False,0.0,Closed Container,1 - 3 years
T06762,F0248,Kalutara,2024-01-17,9:15,9,15,12:57,3.7,5.0,1.2,False,0.0,Bucket,1 - 3 years
T08118,F0215,Kalutara,2024-01-17,6:40,6,40,9:22,2.7,4.5,1.09,True,9.6,Closed Container,5 - 10 years
T07091,F0727,Galle,2024-01-17,6:29,6,29,9:35,3.1,4.2,2.17,True,8.5,Open Container,3 - 5 years
T01442,F0905,Matara,2024-01-17,7:46,7,46,12:21,4.6,5.9,0.81,True,7.0,Closed Container,1 - 3 years
T08103,F0469,Kegalle,2024-01-17,4:56,4,56,7:19,2.4,3.0,2.06,False,0.0,Closed Container,5 - 10 years
T05749,F0959,Kandy,2024-01-17,7:40,7,40,10:33,2.9,4.6,3.24,True,7.8,Closed Container,5 - 10 years
T01163,F0555,Ratnapura,2024-01-17,4:30,4,30,6:06,1.6,3.4,8.16,True,5.8,Closed Container,More than 10 years
T05340,F0166,Kalutara,2024-01-17,4:28,4,28,7:40,3.2,5.7,3.32,True,7.8,Closed Container,5 - 10 years
T04281,F0240,Kalutara,2024-01-18,5:41,5,41,8:23,2.7,3.2,1.91,False,0.0,Closed Container,5 - 10 years
T06205,F0411,Kegalle,2024-01-18,4:59,4,59,8:22,3.4,2.1,2.01,False,0.0,Closed Container,5 - 10 years
T02042,F0697,Ratnapura,2024-01-18,7:53,7,53,10:59,3.1,5.7,1.99,True,5.3,Open Container,5 - 10 years
T01751,F0043,Kalutara,2024-01-18,5:13,5,13,7:49,2.6,1.4,3.47,True,4.7,Closed Container,More than 10 years
T02235,F0433,Kegalle,2024-01-18,5:05,5,5,7:52,2.8,2.0,1.65,True,7.6,Closed Container,More than 10 years
T01589,F0435,Kegalle,2024-01-18,5:03,5,3,10:15,5.2,7.3,0.96,True,8.0,Open Container,1 - 3 years
T08639,F0078,Kalutara,2024-01-18,6:06,6,6,9:59,3.9,5.4,1.96,True,4.8,Closed Container,3 - 5 years
T00321,F0741,Galle,2024-01-18,4:00,4,0,6:23,2.4,2.2,1.39,True,7.4,Closed Container,5 - 10 years
T02900,F0893,Matara,2024-01-18,7:05,7,5,11:35,4.5,7.4,1.02,True,4.0,Bucket,1 - 3 years
T00260,F0810,Galle,2024-01-18,8:51,8,51,13:15,4.4,3.9,2.98,True,4.7,Open Container,3 - 5 years
T01843,F0632,Ratnapura,2024-01-18,6:52,6,52,8:52,2.0,3.4,3.46,False,0.0,Bucket,5 - 10 years
T03499,F0955,Kandy,2024-01-18,5:55,5,55,8:31,2.6,3.5,2.57,True,9.5,Open Container,5 - 10 years
T09007,F0288,Kalutara,2024-01-19,7:23,7,23,10:53,3.5,4.6,2.98,True,4.7,Closed Container,5 - 10 years
T04710,F0975,Kurunegala,2024-01-19,6:30,6,30,9:06,2.6,2.4,3.59,True,8.6,Bucket,More than 10 years
T05432,F0420,Kegalle,2024-01-19,6:32,6,32,9:19,2.8,6.0,1.68,True,8.7,Open Container,3 - 5 years
T06717,F0842,Colombo,2024-01-19,6:12,6,12,8:59,2.8,3.2,3.74,True,9.1,Closed Container,5 - 10 years
T04647,F0536,Kegalle,2024-01-19,6:10,6,10,8:57,2.8,3.3,5.58,True,5.5,Bucket,5 - 10 years
T00961,F0991,Kurunegala,2024-01-19,9:58,9,58,14:28,4.5,6.3,1.19,True,7.1,Cup,1 - 3 years
T08297,F0627,Ratnapura,2024-01-19,7:12,7,12,9:29,2.3,4.5,1.91,True,8.0,Open Container,5 - 10 years
T08356,F0711,Galle,2024-01-19,4:56,4,56,6:56,2.0,2.0,6.62,False,0.0,Closed Container,More than 10 years
T04610,F0501,Kegalle,2024-01-19,4:03,4,3,6:09,2.1,3.6,1.52,True,9.4,Closed Container,5 - 10 years
T06407,F0681,Ratnapura,2024-01-19,6:00,6,0,8:23,2.4,4.0,3.91,True,5.1,Closed Container,More than 10 years
T02374,F0584,Ratnapura,2024-01-19,7:15,7,15,10:27,3.2,5.0,5.21,True,7.3,Closed Container,5 - 10 years
T02144,F0483,Kegalle,2024-01-19,4:34,4,34,7:34,3.0,4.9,2.37,True,4.2,Bucket,5 - 10 years
T06237,F0506,Kegalle,2024-01-19,7:58,7,58,10:58,3.0,4.6,1.59,True,8.5,Open Container,1 - 3 years
T06525,F0659,Ratnapura,2024-01-20,7:47,7,47,12:04,4.3,7.4,0.39,False,0.0,Open Container,1 - 3 years
T02499,F0315,Kegalle,2024-01-20,6:39,6,39,9:15,2.6,6.7,0.65,True,5.6,Closed Container,3 - 5 years
T03165,F0748,Galle,2024-01-20,5:29,5,29,8:41,3.2,6.4,1.88,True,3.7,Open Container,3 - 5 years
T03942,F0515,Kegalle,2024-01-20,5:45,5,45,8:21,2.6,4.2,2.16,True,3.3,Closed Container,5 - 10 years
T03234,F0622,Ratnapura,2024-01-20,7:05,7,5,11:52,4.8,5.1,1.22,True,3.6,Cup,1 - 3 years
T00350,F0290,Kalutara,2024-01-20,8:50,8,50,13:37,4.8,6.9,1.52,True,7.0,Closed Container,1 - 3 years
T03247,F0236,Kalutara,2024-01-20,8:21,8,21,12:33,4.2,5.3,2.85,True,8.5,Closed Container,3 - 5 years
T05034,F0891,Matara,2024-01-20,5:34,5,34,10:46,5.2,7.1,1.1,True,4.4,Closed Container,1 - 3 years
T00880,F0659,Ratnapura,2024-01-20,7:35,7,35,12:59,5.4,8.1,0.51,False,0.0,Bucket,1 - 3 years
T08970,F0534,Kegalle,2024-01-20,8:43,8,43,11:30,2.8,5.3,1.88,True,7.5,Cup,3 - 5 years
T09899,F0150,Kalutara,2024-01-20,7:17,7,17,10:53,3.6,6.3,1.77,True,9.4,Closed Container,1 - 3 years
T06270,F0555,Ratnapura,2024-01-20,4:28,4,28,7:21,2.9,1.8,6.46,True,7.6,Closed Container,More than 10 years
T02092,F0984,Kurunegala,2024-01-20,5:36,5,36,7:42,2.1,3.7,3.92,True,8.0,Closed Container,More than 10 years
T05342,F0174,Kalutara,2024-01-21,10:17,10,17,13:47,3.5,7.2,0.2,False,0.0,Bucket,Less than 1 year
T09089,F0474,Kegalle,2024-01-21,9:11,9,11,14:05,4.9,10.0,1.13,False,0.0,Bucket,1 - 3 years
T09235,F0342,Kegalle,2024-01-21,8:07,8,7,11:24,3.3,5.8,1.14,True,8.4,Closed Container,3 - 5 years
