time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),relative_humidity_2m_max (%),relative_humidity_2m_min (%),precipitation_sum (mm),wind_speed_10m_max (km/h),district,year
2/11/2024,32.1,22.5,27.4,91,51,0.0,11.6,Kalutara,2024
2/12/2024,32.2,22.0,27.4,89,55,0.0,13.9,Kalutara,2024
2/13/2024,33.1,23.8,27.9,90,48,4.6,13.8,Kalutara,2024
2/14/2024,32.2,24.0,27.7,96,59,2.9,13.6,Kalutara,2024
2/15/2024,31.0,24.6,27.3,92,68,2.2,13.7,Kalutara,2024
2/16/2024,31.5,23.6,27.2,98,60,0.2,13.0,Kalutara,2024
2/17/2024,32.2,23.8,27.8,97,56,0.0,13.6,Kalutara,2024
2/18/2024,31.2,24.5,27.7,93,61,0.1,10.8,Kalutara,2024
2/19/2024,32.0,23.5,27.7,93,57,0.0,15.5,Kalutara,2024
2/20/2024,31.8,23.8,27.6,95,59,0.6,14.6,Kalutara,2024
2/21/2024,33.7,24.4,28.3,97,52,1.9,17.3,Kalutara,2024
2/22/2024,32.0,24.9,27.7,95,62,2.3,17.3,Kalutara,2024
2/23/2024,34.2,23.9,28.2,96,46,0.4,17.4,Kalutara,2024
2/24/2024,31.3,24.6,27.8,92,59,2.3,12.6,Kalutara,2024
2/25/2024,31.8,24.4,27.9,94,60,1.6,15.2,Kalutara,2024
2/26/2024,33.7,24.6,28.9,92,47,0.3,18.9,Kalutara,2024
2/27/2024,32.8,25.0,28.9,91,56,1.4,13.6,Kalutara,2024
2/28/2024,34.0,24.5,28.5,94,46,3.2,16.3,Kalutara,2024
2/29/2024,32.0,23.8,28.1,94,57,0.3,14.3,Kalutara,2024
3/1/2024,32.7,24.7,28.6,93,52,0.0,17.0,Kalutara,2024
3/2/2024,32.0,25.4,28.5,91,53,0.5,12.8,Kalutara,2024
3/3/2024,31.5,23.5,27.7,97,61,1.1,16.7,Kalutara,2024
3/4/2024,31.9,24.0,27.8,94,56,0.0,18.9,Kalutara,2024
3/5/2024,32.0,23.2,27.9,98,55,0.4,19.5,Kalutara,2024
3/6/2024,31.1,24.9,27.9,91,60,0.4,14.9,Kalutara,2024
3/7/2024,32.4,24.9,28.2,91,55,0.0,19.1,Kalutara,2024
3/8/2024,30.5,25.4,27.7,93,65,1.1,12.2,Kalutara,2024
3/9/2024,32.0,23.2,27.7,97,58,0.0,16.6,Kalutara,2024
3/10/2024,32.5,24.0,27.9,95,54,0.0,18.0,Kalutara,2024
3/11/2024,31.8,23.8,28.0,96,57,0.0,20.6,Kalutara,2024
3/12/2024,32.1,24.5,28.4,93,56,0.7,13.0,Kalutara,2024
3/13/2024,32.6,25.0,28.3,92,55,5.7,17.5,Kalutara,2024
3/14/2024,31.6,24.0,28.0,95,61,0.0,15.6,Kalutara,2024
3/15/2024,31.8,24.1,28.1,94,58,0.6,12.5,Kalutara,2024
3/16/2024,33.2,24.4,28.6,88,49,0.0,20.7,Kalutara,2024
3/17/2024,33.2,24.9,28.6,89,50,0.0,17.7,Kalutara,2024
3/18/2024,32.1,24.8,28.1,91,55,0.2,15.4,Kalutara,2024
3/19/2024,33.7,24.5,28.7,91,44,0.0,17.4,Kalutara,2024
3/20/2024,33.9,25.2,29.0,86,46,0.0,20.2,Kalutara,2024
3/21/2024,33.2,25.4,28.1,94,53,5.4,14.5,Kalutara,2024
3/22/2024,31.9,24.8,27.2,98,65,5.6,13.6,Kalutara,2024
3/23/2024,31.5,24.2,27.2,98,68,1.4,13.1,Kalutara,2024
3/24/2024,31.5,24.5,27.2,96,64,4.0,11.7,Kalutara,2024
3/25/2024,32.2,24.2,27.9,98,59,0.1,14.1,Kalutara,2024
3/26/2024,31.3,25.4,28.3,94,67,1.0,13.3,Kalutara,2024
3/27/2024,31.6,24.9,27.5,95,68,12.4,13.7,Kalutara,2024
3/28/2024,31.9,25.0,27.9,95,66,8.6,14.1,Kalutara,2024
3/29/2024,32.5,24.8,28.2,95,55,0.2,12.2,Kalutara,2024
3/30/2024,31.1,23.6,27.5,96,63,4.6,11.7,Kalutara,2024
3/31/2024,32.3,23.9,28.0,97,56,2.5,13.0,Kalutara,2024
4/1/2024,31.6,25.0,27.9,96,62,1.6,11.9,Kalutara,2024
4/2/2024,33.2,24.5,28.3,97,55,11.3,14.3,Kalutara,2024
4/3/2024,31.9,24.5,27.6,96,62,4.4,16.6,Kalutara,2024
4/4/2024,31.9,25.0,27.8,93,65,4.9,13.8,Kalutara,2024
4/5/2024,31.0,25.5,28.0,94,70,1.8,13.5,Kalutara,2024
4/6/2024,32.5,25.4,28.4,94,62,3.6,15.0,Kalutara,2024
4/7/2024,31.2,25.0,27.8,96,69,3.6,15.3,Kalutara,2024
4/8/2024,31.1,24.5,28.0,96,71,2.9,13.5,Kalutara,2024
4/9/2024,33.0,24.0,28.4,97,55,0.0,17.0,Kalutara,2024
4/10/2024,32.3,25.9,28.7,89,61,1.7,18.9,Kalutara,2024
4/11/2024,33.0,25.2,28.0,94,54,12.4,14.5,Kalutara,2024
4/12/2024,30.9,24.5,26.8,98,70,23.1,11.3,Kalutara,2024
4/13/2024,32.2,24.9,27.9,97,64,2.8,12.8,Kalutara,2024
4/14/2024,31.5,24.5,27.3,96,68,6.7,12.0,Kalutara,2024
4/15/2024,31.0,24.4,27.2,97,72,23.3,7.7,Kalutara,2024
4/16/2024,31.5,24.3,26.6,98,67,23.8,13.9,Kalutara,2024
4/17/2024,31.5,24.2,27.8,97,71,1.1,13.5,Kalutara,2024
4/18/2024,31.5,25.0,27.9,95,67,1.6,14.0,Kalutara,2024
4/19/2024,31.4,24.9,28.4,96,72,1.6,15.0,Kalutara,2024
4/20/2024,32.2,25.8,28.5,96,67,2.3,14.3,Kalutara,2024
4/21/2024,31.7,24.1,28.1,96,66,6.3,13.4,Kalutara,2024
4/22/2024,31.4,24.0,28.0,96,71,0.6,13.3,Kalutara,2024
4/23/2024,32.0,24.9,28.1,97,72,1.8,13.2,Kalutara,2024
4/24/2024,31.1,25.6,28.1,97,72,0.9,12.8,Kalutara,2024
4/25/2024,31.5,24.9,28.4,94,71,2.8,10.6,Kalutara,2024
4/26/2024,32.2,25.5,28.5,94,66,5.6,13.3,Kalutara,2024
4/27/2024,31.6,25.1,27.5,98,66,7.3,12.4,Kalutara,2024
4/28/2024,32.9,24.5,28.2,99,60,1.9,10.3,Kalutara,2024
4/29/2024,31.8,25.4,27.4,97,74,14.8,13.5,Kalutara,2024
4/30/2024,32.5,25.1,27.6,96,68,7.8,15.2,Kalutara,2024
5/1/2024,31.5,24.3,27.8,97,72,1.1,13.1,Kalutara,2024
5/2/2024,32.2,25.0,28.9,95,68,0.0,11.3,Kalutara,2024
5/3/2024,32.0,27.0,29.3,93,69,3.4,15.5,Kalutara,2024
5/4/2024,31.3,26.3,29.0,97,74,1.6,13.9,Kalutara,2024
5/5/2024,31.0,26.4,28.4,96,75,2.1,14.8,Kalutara,2024
5/6/2024,32.3,25.5,28.6,95,69,4.5,13.7,Kalutara,2024
5/7/2024,30.8,24.9,27.9,96,73,4.0,13.1,Kalutara,2024
5/8/2024,30.7,24.0,27.6,96,73,7.5,15.3,Kalutara,2024
5/9/2024,30.9,24.7,27.7,97,75,17.6,16.0,Kalutara,2024
5/10/2024,31.1,24.5,27.7,96,73,2.8,13.7,Kalutara,2024
5/11/2024,32.0,25.6,28.0,96,70,15.1,13.3,Kalutara,2024
5/12/2024,30.4,25.0,27.0,97,79,5.6,10.7,Kalutara,2024
5/13/2024,31.8,24.9,28.0,98,67,6.9,11.5,Kalutara,2024
5/14/2024,31.5,25.1,27.3,97,68,15.6,13.7,Kalutara,2024
5/15/2024,31.1,25.4,27.6,96,70,6.5,12.3,Kalutara,2024
5/16/2024,30.0,25.0,26.9,98,75,13.2,10.3,Kalutara,2024
5/17/2024,30.2,24.9,27.1,98,76,4.8,17.9,Kalutara,2024
5/18/2024,28.4,25.0,26.4,97,81,46.2,17.7,Kalutara,2024
5/19/2024,27.5,25.2,26.1,98,82,40.4,16.2,Kalutara,2024
5/20/2024,26.9,25.1,26.0,96,89,50.1,20.2,Kalutara,2024
5/21/2024,29.4,25.1,26.8,96,81,15.9,20.8,Kalutara,2024
5/22/2024,30.0,26.0,27.8,92,74,37.9,32.8,Kalutara,2024
5/23/2024,30.5,26.2,27.7,92,69,40.6,32.2,Kalutara,2024
5/24/2024,30.5,26.9,28.1,88,71,26.6,30.9,Kalutara,2024
5/25/2024,28.8,26.0,27.2,90,82,58.4,29.3,Kalutara,2024
5/26/2024,29.5,25.3,27.3,95,76,29.1,27.1,Kalutara,2024
5/27/2024,29.2,25.9,26.9,94,78,43.2,21.1,Kalutara,2024
5/28/2024,29.1,25.7,27.3,93,77,33.0,20.2,Kalutara,2024
5/29/2024,29.4,25.8,27.4,94,75,31.5,19.0,Kalutara,2024
5/30/2024,30.0,24.7,27.5,98,76,32.9,26.0,Kalutara,2024
5/31/2024,29.9,24.4,27.6,98,78,17.4,17.1,Kalutara,2024
6/1/2024,28.2,24.6,26.3,97,83,40.5,13.9,Kalutara,2024
6/2/2024,28.1,24.6,26.1,97,85,37.3,17.2,Kalutara,2024
6/3/2024,29.5,23.9,26.9,98,75,15.3,17.6,Kalutara,2024
6/4/2024,29.7,25.9,27.5,91,72,3.9,18.1,Kalutara,2024
6/5/2024,30.0,25.1,27.6,96,71,2.5,18.7,Kalutara,2024
6/6/2024,29.8,25.4,27.3,93,72,3.3,17.7,Kalutara,2024
6/7/2024,29.6,24.9,27.1,95,72,5.6,20.9,Kalutara,2024
6/8/2024,29.4,24.9,27.0,95,74,6.5,22.5,Kalutara,2024
6/9/2024,29.6,24.0,27.0,95,72,14.3,20.0,Kalutara,2024
6/10/2024,29.6,25.1,27.6,93,74,4.7,21.3,Kalutara,2024
6/11/2024,29.7,26.0,27.8,89,74,6.7,23.5,Kalutara,2024
6/12/2024,30.0,25.0,27.4,94,74,14.7,18.7,Kalutara,2024
6/13/2024,29.9,26.1,27.9,89,74,4.5,19.7,Kalutara,2024
6/14/2024,30.1,26.2,28.1,89,73,2.4,18.2,Kalutara,2024
6/15/2024,29.9,24.7,27.1,95,73,9.1,20.9,Kalutara,2024
6/16/2024,29.8,25.1,27.5,96,74,4.6,19.5,Kalutara,2024
6/17/2024,30.2,25.4,27.7,94,74,3.5,18.5,Kalutara,2024
6/18/2024,29.5,24.8,26.7,95,75,8.2,18.1,Kalutara,2024
6/19/2024,29.3,25.0,26.5,95,73,16.7,22.4,Kalutara,2024
6/20/2024,30.0,24.8,27.0,93,71,7.2,22.9,Kalutara,2024
6/21/2024,28.6,25.0,26.8,92,78,14.5,20.5,Kalutara,2024
6/22/2024,29.1,24.8,26.5,93,75,43.6,25.9,Kalutara,2024
6/23/2024,29.6,25.5,27.2,91,73,22.4,25.0,Kalutara,2024
6/24/2024,30.0,25.5,27.3,90,75,10.6,22.4,Kalutara,2024
6/25/2024,27.5,25.1,26.2,92,83,27.5,17.7,Kalutara,2024
6/26/2024,28.0,25.0,26.6,93,79,12.9,20.6,Kalutara,2024
6/27/2024,29.8,25.8,27.7,91,73,3.1,16.0,Kalutara,2024
6/28/2024,29.5,25.0,27.0,95,75,4.0,14.2,Kalutara,2024
6/29/2024,29.5,24.4,27.1,95,73,1.4,16.5,Kalutara,2024
6/30/2024,29.4,24.5,26.9,95,76,2.6,14.8,Kalutara,2024
7/1/2024,28.5,24.3,26.6,96,78,10.1,15.5,Kalutara,2024
7/2/2024,29.8,25.9,27.7,91,76,2.7,16.3,Kalutara,2024
7/3/2024,29.7,24.5,27.0,96,76,10.4,17.8,Kalutara,2024
7/4/2024,29.3,24.0,26.6,99,76,13.2,13.8,Kalutara,2024
7/5/2024,28.0,24.5,25.8,96,81,24.3,14.1,Kalutara,2024
7/6/2024,28.9,24.9,26.9,96,76,7.5,14.9,Kalutara,2024
7/7/2024,29.5,25.1,27.2,94,73,4.4,13.3,Kalutara,2024
7/8/2024,28.8,24.2,26.5,97,74,13.0,15.2,Kalutara,2024
7/9/2024,29.9,25.9,27.8,87,70,1.4,16.3,Kalutara,2024
7/10/2024,29.8,25.6,27.7,90,71,3.1,16.1,Kalutara,2024
7/11/2024,29.7,25.1,27.4,96,74,3.5,17.7,Kalutara,2024
7/12/2024,29.3,25.9,27.5,88,77,6.1,20.5,Kalutara,2024
7/13/2024,27.7,25.1,26.0,95,81,15.8,20.2,Kalutara,2024
7/14/2024,29.6,25.6,27.6,92,74,5.9,23.8,Kalutara,2024
7/15/2024,28.6,24.1,26.5,96,78,24.4,23.3,Kalutara,2024
7/16/2024,29.2,25.2,27.0,94,78,11.2,17.4,Kalutara,2024
7/17/2024,28.4,25.3,27.1,94,77,12.8,17.4,Kalutara,2024
7/18/2024,28.4,25.0,26.8,96,80,5.6,17.1,Kalutara,2024
7/19/2024,30.0,26.2,28.0,89,71,2.3,22.7,Kalutara,2024
7/20/2024,30.1,26.4,28.2,92,74,0.6,15.8,Kalutara,2024
7/21/2024,30.3,26.0,28.0,94,70,0.0,11.2,Kalutara,2024
7/22/2024,28.9,24.6,26.9,96,77,4.5,15.6,Kalutara,2024
7/23/2024,29.6,24.5,27.4,96,76,1.2,13.5,Kalutara,2024
7/24/2024,29.8,25.9,27.8,92,75,2.6,16.6,Kalutara,2024
7/25/2024,29.5,25.8,27.8,90,76,2.0,18.1,Kalutara,2024
7/26/2024,30.0,26.6,28.1,90,74,1.2,20.9,Kalutara,2024
7/27/2024,30.1,27.0,28.2,89,75,1.6,21.6,Kalutara,2024
7/28/2024,30.2,25.3,27.7,94,71,37.7,20.4,Kalutara,2024
7/29/2024,29.0,23.5,26.1,97,77,34.3,20.2,Kalutara,2024
7/30/2024,29.3,23.4,26.5,98,79,13.1,17.5,Kalutara,2024
7/31/2024,29.7,24.9,26.9,95,76,20.0,16.9,Kalutara,2024
8/1/2024,28.8,25.1,26.9,94,76,9.8,19.9,Kalutara,2024
8/2/2024,28.5,24.8,26.5,96,78,6.9,16.9,Kalutara,2024
8/3/2024,29.1,25.0,27.4,94,74,3.8,16.9,Kalutara,2024
8/4/2024,29.2,25.0,27.3,93,74,4.0,22.1,Kalutara,2024
8/5/2024,28.6,26.0,27.1,87,76,14.2,20.2,Kalutara,2024
8/6/2024,29.3,24.9,27.4,97,75,0.8,15.5,Kalutara,2024
8/7/2024,29.6,25.4,27.5,95,72,1.7,15.5,Kalutara,2024
8/8/2024,29.0,24.8,27.0,94,76,8.5,18.3,Kalutara,2024
8/9/2024,29.5,25.5,27.6,90,72,2.0,15.8,Kalutara,2024
8/10/2024,28.6,24.8,27.2,93,77,6.7,16.5,Kalutara,2024
8/11/2024,27.5,24.5,26.4,96,79,25.1,13.5,Kalutara,2024
8/12/2024,29.4,23.9,26.1,96,77,37.6,15.8,Kalutara,2024
8/13/2024,27.5,24.0,25.7,98,81,13.1,12.9,Kalutara,2024
8/14/2024,28.0,24.7,26.3,95,78,4.7,14.6,Kalutara,2024
8/15/2024,28.7,24.5,26.9,96,78,6.5,16.4,Kalutara,2024
8/16/2024,28.2,24.2,26.1,96,80,34.1,19.7,Kalutara,2024
8/17/2024,27.8,25.0,26.2,94,81,31.0,21.6,Kalutara,2024
8/18/2024,29.0,24.8,26.8,93,74,14.1,13.7,Kalutara,2024
8/19/2024,28.4,24.1,26.1,97,79,27.2,20.4,Kalutara,2024
8/20/2024,28.1,24.0,25.6,97,78,19.4,18.5,Kalutara,2024
8/21/2024,26.6,24.2,25.3,95,85,20.8,15.7,Kalutara,2024
8/22/2024,29.6,24.0,26.8,96,70,1.9,17.9,Kalutara,2024
8/23/2024,29.8,25.0,27.0,93,73,1.3,17.6,Kalutara,2024
8/24/2024,29.5,24.9,27.1,94,72,1.0,17.9,Kalutara,2024
8/25/2024,29.6,24.3,27.2,91,70,6.7,20.0,Kalutara,2024
8/26/2024,29.8,24.8,27.6,95,69,0.6,17.3,Kalutara,2024
8/27/2024,29.8,26.8,27.9,81,70,0.0,14.0,Kalutara,2024
8/28/2024,29.8,26.3,27.9,84,68,0.1,17.4,Kalutara,2024
8/29/2024,29.7,25.0,27.4,94,70,6.4,18.9,Kalutara,2024
8/30/2024,27.8,24.4,25.9,97,79,22.1,18.3,Kalutara,2024
8/31/2024,28.5,23.6,25.9,96,79,17.5,16.3,Kalutara,2024
9/1/2024,28.9,24.4,26.0,95,77,26.4,19.8,Kalutara,2024
9/2/2024,29.6,23.9,26.6,98,73,51.7,21.0,Kalutara,2024
9/3/2024,27.4,24.4,25.8,93,83,47.3,17.6,Kalutara,2024
9/4/2024,28.5,25.2,26.7,94,77,25.2,21.6,Kalutara,2024
9/5/2024,29.6,25.7,27.8,90,73,3.3,22.5,Kalutara,2024
9/6/2024,29.5,25.3,27.9,91,73,4.0,24.7,Kalutara,2024
9/7/2024,29.6,26.5,27.8,86,74,2.6,21.8,Kalutara,2024
9/8/2024,29.4,24.6,27.1,94,74,7.5,20.8,Kalutara,2024
9/9/2024,29.8,24.4,27.0,94,72,7.0,20.5,Kalutara,2024
9/10/2024,28.6,24.2,26.5,94,76,19.0,16.6,Kalutara,2024
9/11/2024,29.0,24.5,26.3,96,75,10.3,17.1,Kalutara,2024
9/12/2024,29.7,24.3,27.0,96,72,8.7,15.6,Kalutara,2024
9/13/2024,29.5,24.3,27.1,93,75,5.2,18.4,Kalutara,2024
9/14/2024,28.4,25.1,27.0,94,78,11.5,15.9,Kalutara,2024
9/15/2024,29.8,24.4,27.9,96,74,7.3,19.1,Kalutara,2024
9/16/2024,29.1,24.9,27.0,95,76,11.0,19.1,Kalutara,2024
9/17/2024,29.5,24.9,27.2,96,73,4.7,21.8,Kalutara,2024
9/18/2024,29.6,25.6,27.4,91,72,2.4,20.3,Kalutara,2024
9/19/2024,29.4,24.5,26.9,97,73,3.5,19.9,Kalutara,2024
9/20/2024,29.9,26.4,27.9,82,69,2.7,19.3,Kalutara,2024
9/21/2024,29.2,23.5,27.2,95,72,6.5,21.3,Kalutara,2024
9/22/2024,29.5,23.9,27.2,94,72,9.6,22.3,Kalutara,2024
9/23/2024,29.5,26.2,27.9,84,71,2.5,21.4,Kalutara,2024
9/24/2024,29.3,24.5,26.5,95,75,11.5,21.2,Kalutara,2024
9/25/2024,29.3,24.6,27.0,95,75,6.7,19.1,Kalutara,2024
9/26/2024,29.6,23.8,27.0,97,75,2.7,19.0,Kalutara,2024
9/27/2024,29.5,23.9,26.6,96,75,10.8,12.2,Kalutara,2024
9/28/2024,30.3,24.3,26.8,96,75,4.3,15.0,Kalutara,2024
9/29/2024,30.2,23.4,26.2,97,72,12.4,13.1,Kalutara,2024
9/30/2024,29.5,23.5,25.9,96,71,8.5,10.8,Kalutara,2024
10/1/2024,31.6,24.1,27.5,93,61,1.0,19.1,Kalutara,2024
10/2/2024,30.3,24.6,27.2,91,68,2.3,21.3,Kalutara,2024
10/3/2024,30.0,25.1,27.3,95,72,0.7,15.8,Kalutara,2024
10/4/2024,30.3,25.0,27.7,92,70,0.4,14.6,Kalutara,2024
10/5/2024,30.0,25.2,27.4,89,70,7.1,18.4,Kalutara,2024
10/6/2024,29.8,24.7,27.1,93,73,2.7,12.8,Kalutara,2024
10/7/2024,28.1,23.1,25.3,97,70,48.6,15.0,Kalutara,2024
10/8/2024,29.2,24.2,26.3,96,70,5.0,12.4,Kalutara,2024
10/9/2024,29.6,24.6,26.7,97,70,9.6,15.7,Kalutara,2024
10/10/2024,28.5,23.6,25.5,97,77,34.6,21.8,Kalutara,2024
10/11/2024,27.5,24.3,25.5,95,81,57.3,21.4,Kalutara,2024
10/12/2024,27.6,24.4,25.6,96,77,33.2,17.3,Kalutara,2024
10/13/2024,28.0,24.1,25.4,96,80,29.2,16.6,Kalutara,2024
10/14/2024,25.5,24.1,24.7,95,90,42.3,16.6,Kalutara,2024
10/15/2024,29.0,24.5,26.5,95,72,9.4,17.8,Kalutara,2024
10/16/2024,28.8,24.9,26.8,94,77,6.6,15.8,Kalutara,2024
10/17/2024,30.0,25.5,27.8,91,69,2.5,18.0,Kalutara,2024
10/18/2024,30.0,24.6,27.3,94,71,0.4,15.6,Kalutara,2024
10/19/2024,29.2,24.1,26.8,94,70,2.8,13.6,Kalutara,2024
10/20/2024,28.6,24.2,26.1,96,76,2.3,12.6,Kalutara,2024
10/21/2024,29.0,24.1,26.1,97,78,6.9,13.0,Kalutara,2024
10/22/2024,27.5,23.6,25.6,96,81,6.5,11.1,Kalutara,2024
10/23/2024,27.0,24.1,25.2,98,82,33.2,11.9,Kalutara,2024
10/24/2024,29.5,23.6,26.6,96,70,3.1,19.2,Kalutara,2024
10/25/2024,29.3,23.3,26.5,98,74,10.1,14.8,Kalutara,2024
10/26/2024,29.0,23.3,25.6,98,74,8.3,14.2,Kalutara,2024
10/27/2024,28.4,23.8,26.1,97,77,4.7,16.2,Kalutara,2024
10/28/2024,27.9,23.6,25.8,98,81,15.4,15.3,Kalutara,2024
10/29/2024,29.5,24.1,27.0,98,75,3.6,15.7,Kalutara,2024
10/30/2024,30.0,24.3,27.1,96,73,1.5,14.9,Kalutara,2024
10/31/2024,29.1,23.5,26.0,96,76,5.1,11.8,Kalutara,2024
11/1/2024,28.2,23.4,25.7,96,81,6.4,9.1,Kalutara,2024
11/2/2024,28.4,23.9,25.5,97,76,11.8,12.5,Kalutara,2024
11/3/2024,28.8,23.0,25.7,98,76,1.7,12.6,Kalutara,2024
11/4/2024,27.6,22.5,25.2,98,81,5.4,12.0,Kalutara,2024
11/5/2024,28.2,23.1,25.1,98,78,17.9,11.5,Kalutara,2024
11/6/2024,31.0,23.0,26.4,96,59,0.4,18.1,Kalutara,2024
11/7/2024,29.7,22.9,26.5,95,69,2.5,18.4,Kalutara,2024
11/8/2024,27.9,23.5,25.3,96,80,26.3,15.2,Kalutara,2024
11/9/2024,31.7,23.6,26.2,96,63,6.8,15.2,Kalutara,2024
11/10/2024,31.0,23.5,26.6,93,57,0.5,17.7,Kalutara,2024
11/11/2024,30.7,23.2,26.6,94,62,2.7,15.5,Kalutara,2024
11/12/2024,29.7,23.7,26.3,98,71,1.9,18.4,Kalutara,2024
11/13/2024,30.2,23.5,26.1,98,71,1.2,10.1,Kalutara,2024
11/14/2024,29.7,23.5,25.3,98,76,21.6,14.0,Kalutara,2024
11/15/2024,29.4,23.0,25.1,99,75,15.7,11.7,Kalutara,2024
11/16/2024,29.8,23.0,25.4,98,73,17.4,9.8,Kalutara,2024
11/17/2024,31.0,22.6,25.9,99,63,9.7,8.7,Kalutara,2024
11/18/2024,28.5,23.4,25.4,99,79,10.1,10.5,Kalutara,2024
11/19/2024,30.1,22.6,25.3,99,74,10.1,11.5,Kalutara,2024
11/20/2024,29.0,22.7,24.9,99,75,11.4,10.0,Kalutara,2024
11/21/2024,29.4,22.5,25.2,99,72,8.1,12.1,Kalutara,2024
11/22/2024,29.2,22.9,25.2,99,74,9.0,14.7,Kalutara,2024
11/23/2024,29.3,22.9,25.5,99,75,6.7,10.6,Kalutara,2024
11/24/2024,28.6,23.2,24.9,99,75,18.2,12.1,Kalutara,2024
11/25/2024,25.0,23.0,24.0,98,96,22.1,21.6,Kalutara,2024
11/26/2024,26.0,23.2,24.6,98,85,24.1,25.0,Kalutara,2024
11/27/2024,27.9,23.9,25.1,96,76,36.1,30.2,Kalutara,2024
11/28/2024,29.0,23.6,25.7,94,63,0.8,25.2,Kalutara,2024
11/29/2024,28.2,23.3,25.6,98,74,4.6,17.9,Kalutara,2024
11/30/2024,29.5,24.5,26.3,97,63,8.5,19.7,Kalutara,2024
12/1/2024,30.1,24.4,27.6,96,60,10.7,22.2,Kalutara,2024
12/2/2024,30.0,26.6,28.1,80,57,0.3,21.8,Kalutara,2024
12/3/2024,30.2,23.1,27.1,90,63,0.1,13.8,Kalutara,2024
12/4/2024,29.9,22.6,26.4,94,62,0.0,12.2,Kalutara,2024
12/5/2024,29.3,23.0,25.9,97,70,2.4,9.7,Kalutara,2024
12/6/2024,29.5,22.4,25.9,99,74,0.3,8.5,Kalutara,2024
12/7/2024,29.3,23.3,25.9,96,74,3.3,12.2,Kalutara,2024
12/8/2024,29.6,22.8,25.4,98,70,6.9,10.3,Kalutara,2024
12/9/2024,30.9,22.3,26.3,97,57,0.1,12.8,Kalutara,2024
12/10/2024,30.6,21.6,26.2,97,58,0.0,20.9,Kalutara,2024
