farmer_id,farmer_name,experience,district,land_size,tree_count,date,season,tapping_hour,tapping_minute,tapping_time,collection_gap_hours,storage_duration_hours,latex_quantity_kg,ammonia_added,ammonia_amount_ml,container_type,temperature_c,humidity_percent,rainfall_mm,vfa_value,drc_value,quality_grade
F001,Farmer A,expert,Kalutara,4.5,300,2024-01-03,dry,6,52,6:52,2.3,1.8,3.8,False,0.0,Closed Container,30.8,69.1,6.6,0.0469,37.69,Grade 2
F008,Farmer H,moderate,Galle,2.5,180,2024-01-03,dry,5,35,5:35,2.9,7.2,3.9,True,7.0,Bucket,30.1,71.3,26.9,0.0632,36.87,Grade 3
F004,Farmer D,expert,Galle,3.5,250,2024-01-04,dry,6,54,6:54,2.9,1.5,3.8,True,8.9,Closed Container,30.8,63.4,25.4,0.0278,36.97,Grade 1
F001,Farmer A,expert,Kalutara,4.5,300,2024-01-04,dry,6,52,6:52,2.1,2.6,1.4,True,9.8,Closed Container,31.5,71.1,8.0,0.03,36.63,Grade 2
F001,Farmer A,expert,Kalutara,4.5,300,2024-01-04,dry,6,17,6:17,2.8,1.6,2.8,True,4.9,Closed Container,29.6,72.4,26.0,0.0319,37.05,Grade 2
F008,Farmer H,moderate,Galle,2.5,180,2024-01-04,dry,8,54,8:54,3.8,5.0,5.4,True,3.6,Closed Container,31.9,69.3,11.4,0.0772,34.78,Grade 3
F008,Farmer H,moderate,Galle,2.5,180,2024-01-04,dry,7,32,7:32,3.9,5.0,1.7,False,0.0,Bucket,31.2,71.6,2.2,0.0819,35.19,Rejected
F001,Farmer A,expert,Kalutara,4.5,300,2024-01-04,dry,6,15,6:15,2.1,3.0,7.6,False,0.0,Closed Container,29.8,74.7,23.9,0.0525,36.53,Grade 3
F004,Farmer D,expert,Galle,3.5,250,2024-01-04,dry,5,4,5:04,2.2,2.8,6.0,True,7.8,Closed Container,30.5,64.7,21.9,0.0238,38.36,Grade 1
F008,Farmer H,moderate,Galle,2.5,180,2024-01-04,dry,7,26,7:26,2.8,4.8,6.4,True,6.0,Closed Container,31.2,68.3,23.6,0.0493,34.92,Grade 2
F004,Farmer D,expert,Galle,3.5,250,2024-01-05,dry,4,55,4:55,2.3,3.2,4.4,False,0.0,Bucket,31.7,69.4,3.9,0.0562,37.37,Grade 3
F004,Farmer D,expert,Galle,3.5,250,2024-01-05,dry,5,2,5:02,1.5,1.5,3.6,True,8.7,Closed Container,31.3,62.0,16.4,0.0126,38.1,Grade 1
F004,Farmer D,expert,Galle,3.5,250,2024-01-05,dry,4,48,4:48,2.4,2.8,2.9,True,9.6,Closed Container,29.2,63.0,2.8,0.0235,37.82,Grade 1
F003,Farmer C,beginner,Ratnapura,1.5,100,2024-01-05,dry,6,30,6:30,5.0,6.5,7.5,False,0.0,Open Container,28.5,60.3,4.4,0.1105,33.5,Rejected
F005,Farmer E,moderate,Kalutara,2.0,150,2024-01-05,dry,7,13,7:13,3.5,6.6,1.8,True,5.8,Open Container,31.5,68.1,9.7,0.0854,32.49,Rejected
F004,Farmer D,expert,Galle,3.5,250,2024-01-06,dry,6,47,6:47,2.7,2.7,1.8,True,7.6,Closed Container,31.9,71.4,28.5,0.0314,38.06,Grade 2
F003,Farmer C,beginner,Ratnapura,1.5,100,2024-01-06,dry,10,59,10:59,3.5,10.5,7.2,False,0.0,Open Container,29.3,60.4,0.7,0.12,30.46,Rejected
F006,Farmer F,beginner,Kegalle,1.0,80,2024-01-07,dry,9,4,9:04,3.2,7.5,4.9,False,0.0,Cup,29.8,62.3,2.0,0.1052,32.19,Rejected
F005,Farmer E,moderate,Kalutara,2.0,150,2024-01-07,dry,8,21,8:21,4.1,4.3,7.0,True,6.0,Bucket,29.2,69.1,20.0,0.0655,35.75,Grade 3
F008,Farmer H,moderate,Galle,2.5,180,2024-01-07,dry,5,11,5:11,2.0,6.5,6.7,False,0.0,Closed Container,31.6,70.4,0.2,0.071,36.73,Grade 3
F004,Farmer D,expert,Galle,3.5,250,2024-01-07,dry,4,50,4:50,2.3,1.6,7.3,True,6.4,Closed Container,31.6,60.9,15.8,0.0244,38.12,Grade 1
F008,Farmer H,moderate,Galle,2.5,180,2024-01-07,dry,7,57,7:57,4.4,4.8,2.1,True,6.0,Closed Container,29.7,64.2,3.8,0.0549,35.71,Grade 3
F005,Farmer E,moderate,Kalutara,2.0,150,2024-01-07,dry,7,15,7:15,4.0,3.8,2.8,False,0.0,Closed Container,29.4,67.3,22.4,0.0661,34.56,Grade 3
F008,Farmer H,moderate,Galle,2.5,180,2024-01-07,dry,7,52,7:52,2.3,6.2,3.6,True,8.2,Closed Container,29.2,65.6,5.8,0.0542,36.19,Grade 3
F001,Farmer A,expert,Kalutara,4.5,300,2024-01-08,dry,4,42,4:42,1.6,3.9,6.7,True,8.2,Closed Container,29.9,73.6,10.8,0.029,37.36,Grade 1
F001,Farmer A,expert,Kalutara,4.5,300,2024-01-08,dry,5,57,5:57,2.6,3.5,5.8,True,6.4,Closed Container,29.7,63.3,25.9,0.0297,38.47,Grade 1
F004,Farmer D,expert,Galle,3.5,250,2024-01-08,dry,4,45,4:45,2.4,1.7,7.3,False,0.0,Closed Container,31.3,63.4,2.3,0.0376,37.5,Grade 2
F004,Farmer D,expert,Galle,3.5,250,2024-01-08,dry,6,58,6:58,2.2,2.2,1.7,True,4.7,Bucket,31.4,66.9,4.5,0.04,37.59,Grade 2
F001,Farmer A,expert,Kalutara,4.5,300,2024-01-08,dry,6,44,6:44,2.4,1.4,2.5,False,0.0,Closed Container,29.6,72.4,27.7,0.0388,37.28,Grade 2
F003,Farmer C,beginner,Ratnapura,1.5,100,2024-01-08,dry,7,16,7:16,4.2,8.9,7.9,True,9.2,Closed Container,28.2,67.6,13.9,0.0837,32.82,Rejected
F002,Farmer B,moderate,Kegalle,3.0,200,2024-01-09,dry,6,33,6:33,2.9,4.0,6.8,True,6.7,Bucket,29.6,69.0,21.0,0.0565,34.51,Grade 3
F003,Farmer C,beginner,Ratnapura,1.5,100,2024-01-09,dry,8,54,8:54,4.0,9.5,2.1,False,0.0,Bucket,27.4,67.6,4.7,0.1177,33.83,Rejected
F005,Farmer E,moderate,Kalutara,2.0,150,2024-01-09,dry,5,58,5:58,3.5,5.0,7.3,True,8.6,Open Container,29.5,61.3,3.6,0.0557,36.31,Grade 3
F004,Farmer D,expert,Galle,3.5,250,2024-01-10,dry,4,37,4:37,2.7,2.4,5.2,True,3.6,Closed Container,29.2,74.6,6.8,0.0285,36.91,Grade 1
F001,Farmer A,expert,Kalutara,4.5,300,2024-01-10,dry,6,33,6:33,1.9,2.4,1.2,True,6.1,Closed Container,31.9,70.0,28.7,0.0324,36.69,Grade 2
F001,Farmer A,expert,Kalutara,4.5,300,2024-01-10,dry,4,42,4:42,2.5,2.0,7.3,False,0.0,Closed Container,29.2,72.5,18.0,0.0402,38.64,Grade 2
F005,Farmer E,moderate,Kalutara,2.0,150,2024-01-10,dry,6,37,6:37,2.5,6.6,2.6,False,0.0,Open Container,31.2,61.7,6.4,0.0917,36.03,Rejected
F002,Farmer B,moderate,Kegalle,3.0,200,2024-01-10,dry,5,17,5:17,3.9,2.0,5.1,False,0.0,Closed Container,29.2,60.9,17.5,0.0551,37.5,Grade 3
F007,Farmer G,expert,Ratnapura,5.0,400,2024-01-10,dry,6,54,6:54,2.2,1.4,7.6,True,6.5,Closed Container,27.8,74.4,4.3,0.0128,37.6,Grade 1
F008,Farmer H,moderate,Galle,2.5,180,2024-01-10,dry,8,7,8:07,3.1,3.6,3.6,False,0.0,Open Container,30.7,61.0,4.1,0.0832,32.37,Rejected
F002,Farmer B,moderate,Kegalle,3.0,200,2024-01-10,dry,8,39,8:39,4.5,8.0,1.5,True,4.9,Bucket,28.1,68.9,20.3,0.0925,33.13,Rejected
F008,Farmer H,moderate,Galle,2.5,180,2024-01-11,dry,7,26,7:26,2.4,4.8,8.0,True,7.9,Closed Container,31.3,67.5,9.3,0.0495,35.75,Grade 2
F007,Farmer G,expert,Ratnapura,5.0,400,2024-01-11,dry,5,10,5:10,1.7,3.7,1.2,True,9.7,Closed Container,29.5,63.2,18.7,0.0313,36.14,Grade 2
F004,Farmer D,expert,Galle,3.5,250,2024-01-11,dry,5,4,5:04,1.6,3.6,1.4,True,7.0,Closed Container,31.4,68.2,17.4,0.029,39.42,Grade 1
F002,Farmer B,moderate,Kegalle,3.0,200,2024-01-11,dry,6,54,6:54,3.3,7.1,7.9,True,7.5,Closed Container,29.0,65.9,22.2,0.0678,36.48,Grade 3
F003,Farmer C,beginner,Ratnapura,1.5,100,2024-01-11,dry,7,56,7:56,3.0,12.5,7.6,False,0.0,Closed Container,27.5,62.9,27.2,0.12,36.51,Rejected
F001,Farmer A,expert,Kalutara,4.5,300,2024-01-11,dry,4,13,4:13,2.7,4.0,1.2,True,8.5,Closed Container,30.0,70.8,22.3,0.0349,36.28,Grade 2
F001,Farmer A,expert,Kalutara,4.5,300,2024-01-12,dry,5,36,5:36,1.8,3.0,5.4,False,0.0,Bucket,29.6,60.6,20.2,0.0499,36.92,Grade 2
F005,Farmer E,moderate,Kalutara,2.0,150,2024-01-12,dry,6,25,6:25,4.1,3.6,6.9,True,7.7,Closed Container,30.1,71.7,14.8,0.0425,36.29,Grade 2
F002,Farmer B,moderate,Kegalle,3.0,200,2024-01-12,dry,6,37,6:37,2.1,2.7,2.2,False,0.0,Closed Container,28.7,70.6,2.5,0.0536,36.58,Grade 3
F003,Farmer C,beginner,Ratnapura,1.5,100,2024-01-12,dry,9,26,9:26,4.2,13.7,7.6,False,0.0,Open Container,29.4,72.5,9.1,0.12,32.41,Rejected
F004,Farmer D,expert,Galle,3.5,250,2024-01-12,dry,4,39,4:39,2.6,2.1,5.2,True,7.9,Bucket,30.9,61.0,4.4,0.0285,38.07,Grade 1
F005,Farmer E,moderate,Kalutara,2.0,150,2024-01-12,dry,6,57,6:57,4.1,2.1,3.2,False,0.0,Closed Container,29.9,74.1,25.5,0.0579,36.72,Grade 3
F001,Farmer A,expert,Kalutara,4.5,300,2024-01-12,dry,6,59,6:59,1.7,3.5,7.0,False,0.0,Closed Container,29.1,62.1,8.3,0.0458,36.92,Grade 2
F007,Farmer G,expert,Ratnapura,5.0,400,2024-01-12,dry,4,24,4:24,2.7,3.7,7.0,True,9.4,Closed Container,27.7,72.3,21.2,0.0304,39.11,Grade 2
F008,Farmer H,moderate,Galle,2.5,180,2024-01-12,dry,7,12,7:12,2.5,7.3,2.4,True,7.4,Bucket,31.7,71.9,22.5,0.0735,35.02,Grade 3
F008,Farmer H,moderate,Galle,2.5,180,2024-01-12,dry,6,30,6:30,2.4,7.8,7.3,False,0.0,Closed Container,29.9,71.1,26.9,0.0865,34.81,Rejected
F004,Farmer D,expert,Galle,3.5,250,2024-01-12,dry,6,0,6:00,1.6,2.2,5.4,True,4.2,Closed Container,31.0,73.3,16.7,0.0291,37.19,Grade 1
F006,Farmer F,beginner,Kegalle,1.0,80,2024-01-12,dry,6,33,6:33,3.9,5.0,5.4,False,0.0,Open Container,29.6,62.1,0.0,0.0969,34.73,Rejected
F007,Farmer G,expert,Ratnapura,5.0,400,2024-01-12,dry,5,3,5:03,2.3,1.0,4.7,True,6.7,Closed Container,29.6,66.5,12.4,0.0134,37.46,Grade 1
F007,Farmer G,expert,Ratnapura,5.0,400,2024-01-13,dry,5,26,5:26,2.1,1.3,7.3,False,0.0,Bucket,29.4,66.5,24.5,0.0434,36.97,Grade 2
F006,Farmer F,beginner,Kegalle,1.0,80,2024-01-13,dry,8,29,8:29,3.1,5.7,7.0,False,0.0,Closed Container,28.8,60.8,0.3,0.0874,32.08,Rejected
F002,Farmer B,moderate,Kegalle,3.0,200,2024-01-13,dry,6,39,6:39,4.3,4.8,7.3,False,0.0,Closed Container,28.4,65.2,1.3,0.0706,35.28,Grade 3
F008,Farmer H,moderate,Galle,2.5,180,2024-01-13,dry,5,20,5:20,3.5,7.5,3.5,False,0.0,Open Container,30.0,74.6,26.2,0.0987,34.76,Rejected
F005,Farmer E,moderate,Kalutara,2.0,150,2024-01-13,dry,6,12,6:12,3.0,3.2,6.6,False,0.0,Closed Container,31.8,63.7,17.3,0.0658,34.94,Grade 3
F006,Farmer F,beginner,Kegalle,1.0,80,2024-01-13,dry,10,49,10:49,5.2,11.2,2.6,False,0.0,Bucket,30.0,74.3,18.0,0.12,34.2,Rejected
F002,Farmer B,moderate,Kegalle,3.0,200,2024-01-14,dry,6,41,6:41,3.2,6.2,7.1,False,0.0,Open Container,28.1,74.2,25.3,0.0868,35.28,Rejected
F007,Farmer G,expert,Ratnapura,5.0,400,2024-01-14,dry,5,28,5:28,2.2,2.4,5.2,True,4.9,Closed Container,28.8,67.1,12.6,0.0242,38.46,Grade 1
F003,Farmer C,beginner,Ratnapura,1.5,100,2024-01-14,dry,7,53,7:53,5.9,4.0,6.9,False,0.0,Open Container,27.9,73.0,22.4,0.0987,33.89,Rejected
F004,Farmer D,expert,Galle,3.5,250,2024-01-14,dry,5,55,5:55,3.0,1.4,3.6,True,9.9,Closed Container,30.0,68.3,21.9,0.0161,37.88,Grade 1
F004,Farmer D,expert,Galle,3.5,250,2024-01-15,dry,5,6,5:06,2.5,2.0,7.0,True,5.0,Closed Container,31.6,72.6,5.3,0.028,38.89,Grade 1
F005,Farmer E,moderate,Kalutara,2.0,150,2024-01-15,dry,5,49,5:49,2.7,2.7,3.2,False,0.0,Open Container,31.2,61.2,6.3,0.0627,36.15,Grade 3
F002,Farmer B,moderate,Kegalle,3.0,200,2024-01-15,dry,8,49,8:49,4.3,4.7,5.7,True,8.0,Closed Container,29.7,65.4,27.3,0.0577,34.73,Grade 3
F002,Farmer B,moderate,Kegalle,3.0,200,2024-01-15,dry,7,22,7:22,3.9,6.9,6.0,True,9.7,Bucket,28.1,71.2,19.3,0.0713,33.84,Grade 3
F007,Farmer G,expert,Ratnapura,5.0,400,2024-01-15,dry,6,30,6:30,1.8,2.5,2.7,True,9.4,Closed Container,29.5,61.3,12.5,0.0207,35.76,Grade 1
F008,Farmer H,moderate,Galle,2.5,180,2024-01-15,dry,7,28,7:28,2.5,2.7,3.2,False,0.0,Open Container,29.5,61.1,9.6,0.0675,35.49,Grade 3
F002,Farmer B,moderate,Kegalle,3.0,200,2024-01-16,dry,5,13,5:13,3.4,5.3,2.9,False,0.0,Bucket,29.9,62.3,14.2,0.0752,37.43,Grade 3
F001,Farmer A,expert,Kalutara,4.5,300,2024-01-16,dry,6,26,6:26,1.8,2.5,5.0,True,7.0,Bucket,30.0,70.5,2.7,0.0337,36.76,Grade 2
F007,Farmer G,expert,Ratnapura,5.0,400,2024-01-16,dry,4,17,4:17,1.7,2.4,2.7,True,4.6,Closed Container,27.5,60.1,12.7,0.0221,37.88,Grade 1
F005,Farmer E,moderate,Kalutara,2.0,150,2024-01-17,dry,5,39,5:39,3.8,2.9,7.6,False,0.0,Bucket,29.7,61.2,0.0,0.0602,37.77,Grade 3
F005,Farmer E,moderate,Kalutara,2.0,150,2024-01-17,dry,6,23,6:23,3.2,5.3,4.1,True,5.7,Closed Container,29.3,68.9,22.8,0.056,34.18,Grade 3
F003,Farmer C,beginner,Ratnapura,1.5,100,2024-01-17,dry,8,24,8:24,5.9,8.7,1.8,True,8.1,Closed Container,27.3,69.5,7.3,0.0974,32.2,Rejected
F006,Farmer F,beginner,Kegalle,1.0,80,2024-01-17,dry,7,37,7:37,3.4,12.2,6.7,False,0.0,Closed Container,30.0,74.5,2.8,0.12,36.41,Rejected
F003,Farmer C,beginner,Ratnapura,1.5,100,2024-01-17,dry,6,8,6:08,4.0,12.3,3.4,False,0.0,Bucket,28.5,61.7,14.1,0.12,33.26,Rejected
F006,Farmer F,beginner,Kegalle,1.0,80,2024-01-17,dry,10,27,10:27,6.0,13.6,7.1,False,0.0,Open Container,29.7,70.9,10.6,0.12,34.29,Rejected
F006,Farmer F,beginner,Kegalle,1.0,80,2024-01-18,dry,9,58,9:58,5.7,5.0,4.0,True,7.1,Closed Container,28.2,64.3,2.6,0.074,33.56,Grade 3
F006,Farmer F,beginner,Kegalle,1.0,80,2024-01-18,dry,10,41,10:41,4.9,6.8,2.1,True,4.6,Bucket,28.2,74.9,22.1,0.1026,34.21,Rejected
F002,Farmer B,moderate,Kegalle,3.0,200,2024-01-18,dry,6,58,6:58,3.8,6.7,4.4,True,5.5,Closed Container,30.4,72.1,13.9,0.067,34.42,Grade 3
F005,Farmer E,moderate,Kalutara,2.0,150,2024-01-18,dry,6,36,6:36,3.5,7.8,4.9,True,5.0,Open Container,29.6,63.7,6.7,0.0897,35.61,Rejected
F004,Farmer D,expert,Galle,3.5,250,2024-01-19,dry,4,6,4:06,2.6,1.4,5.4,True,6.6,Bucket,30.1,64.4,24.8,0.0257,38.27,Grade 1
F002,Farmer B,moderate,Kegalle,3.0,200,2024-01-19,dry,8,23,8:23,3.0,3.3,3.3,True,9.1,Closed Container,30.4,66.5,23.6,0.0475,33.44,Grade 2
F005,Farmer E,moderate,Kalutara,2.0,150,2024-01-19,dry,6,38,6:38,4.3,6.3,2.0,True,6.8,Open Container,31.4,62.7,17.2,0.0785,36.95,Grade 3
F004,Farmer D,expert,Galle,3.5,250,2024-01-19,dry,6,42,6:42,2.6,2.6,3.2,True,8.9,Closed Container,30.6,74.9,6.6,0.0255,36.68,Grade 1
F008,Farmer H,moderate,Galle,2.5,180,2024-01-20,dry,5,59,5:59,2.9,7.9,6.6,True,4.7,Closed Container,30.0,70.9,19.1,0.0687,37.5,Grade 3
F003,Farmer C,beginner,Ratnapura,1.5,100,2024-01-20,dry,6,55,6:55,4.2,12.9,2.4,False,0.0,Closed Container,28.2,71.5,13.4,0.12,32.47,Rejected
F006,Farmer F,beginner,Kegalle,1.0,80,2024-01-20,dry,7,3,7:03,5.9,4.2,7.8,True,3.9,Open Container,29.6,71.4,8.5,0.0886,34.21,Rejected
F006,Farmer F,beginner,Kegalle,1.0,80,2024-01-20,dry,8,20,8:20,5.3,4.2,3.3,False,0.0,Bucket,28.1,71.7,9.8,0.0999,32.37,Rejected
F001,Farmer A,expert,Kalutara,4.5,300,2024-01-20,dry,4,29,4:29,2.4,3.5,6.3,True,5.8,Closed Container,29.1,71.6,3.4,0.0341,37.65,Grade 2
F002,Farmer B,moderate,Kegalle,3.0,200,2024-01-20,dry,5,52,5:52,3.5,4.4,5.1,False,0.0,Closed Container,28.0,71.1,25.0,0.0585,36.93,Grade 3
F003,Farmer C,beginner,Ratnapura,1.5,100,2024-01-20,dry,9,21,9:21,5.5,8.6,5.9,True,8.5,Closed Container,28.8,63.7,29.6,0.0955,33.1,Rejected
F005,Farmer E,moderate,Kalutara,2.0,150,2024-01-21,dry,7,16,7:16,4.4,2.4,2.2,True,8.1,Closed Container,30.4,62.0,2.4,0.0385,37.27,Grade 2
F003,Farmer C,beginner,Ratnapura,1.5,100,2024-01-21,dry,6,35,6:35,3.8,12.0,4.1,False,0.0,Closed Container,29.1,70.6,28.9,0.12,34.16,Rejected
F002,Farmer B,moderate,Kegalle,3.0,200,2024-01-21,dry,8,40,8:40,2.3,6.6,7.0,True,5.0,Closed Container,29.6,71.7,17.4,0.072,32.59,Grade 3
F007,Farmer G,expert,Ratnapura,5.0,400,2024-01-21,dry,5,15,5:15,2.0,3.3,4.0,True,3.3,Closed Container,28.5,64.4,9.8,0.0342,36.03,Grade 2
F008,Farmer H,moderate,Galle,2.5,180,2024-01-21,dry,8,51,8:51,3.1,6.1,1.5,False,0.0,Closed Container,29.7,64.9,14.4,0.0796,34.22,Grade 3
F004,Farmer D,expert,Galle,3.5,250,2024-01-22,dry,4,59,4:59,2.3,2.8,2.6,True,6.2,Closed Container,29.8,64.6,18.4,0.0308,38.57,Grade 2
F007,Farmer G,expert,Ratnapura,5.0,400,2024-01-22,dry,6,33,6:33,2.8,2.1,4.8,True,3.2,Closed Container,28.8,72.4,12.8,0.033,36.09,Grade 2
F008,Farmer H,moderate,Galle,2.5,180,2024-01-22,dry,6,16,6:16,2.1,6.3,5.0,True,9.4,Closed Container,30.2,71.7,4.8,0.047,34.98,Grade 2
F006,Farmer F,beginner,Kegalle,1.0,80,2024-01-22,dry,8,45,8:45,5.2,11.3,3.2,False,0.0,Cup,29.8,71.3,13.0,0.12,32.58,Rejected
F002,Farmer B,moderate,Kegalle,3.0,200,2024-01-22,dry,6,47,6:47,4.1,4.9,3.0,False,0.0,Closed Container,29.3,70.5,12.2,0.0738,35.2,Grade 3
F003,Farmer C,beginner,Ratnapura,1.5,100,2024-01-22,dry,8,12,8:12,4.9,10.6,2.8,False,0.0,Closed Container,28.0,71.4,17.5,0.12,33.13,Rejected
F007,Farmer G,expert,Ratnapura,5.0,400,2024-01-22,dry,5,36,5:36,1.9,2.9,3.7,True,5.3,Closed Container,27.5,60.7,23.4,0.0262,37.47,Grade 1
F005,Farmer E,moderate,Kalutara,2.0,150,2024-01-22,dry,7,10,7:10,4.2,6.9,5.8,True,4.0,Closed Container,29.4,69.7,7.0,0.0754,34.62,Grade 3
F002,Farmer B,moderate,Kegalle,3.0,200,2024-01-22,dry,5,6,5:06,3.4,2.6,7.2,True,3.0,Closed Container,28.9,62.8,9.1,0.0415,35.59,Grade 2
F006,Farmer F,beginner,Kegalle,1.0,80,2024-01-22,dry,7,16,7:16,5.6,5.7,6.3,True,5.5,Open Container,30.9,61.5,9.1,0.0855,35.78,Rejected
F004,Farmer D,expert,Galle,3.5,250,2024-01-22,dry,6,6,6:06,2.3,2.2,2.1,True,7.7,Closed Container,31.7,60.8,2.4,0.0268,36.15,Grade 1
F008,Farmer H,moderate,Galle,2.5,180,2024-01-22,dry,5,8,5:08,4.3,6.4,2.2,True,4.8,Closed Container,31.8,72.9,26.7,0.0747,36.07,Grade 3
F002,Farmer B,moderate,Kegalle,3.0,200,2024-01-23,dry,8,49,8:49,3.1,5.0,6.9,True,5.7,Closed Container,29.7,73.1,21.8,0.0621,33.2,Grade 3
F003,Farmer C,beginner,Ratnapura,1.5,100,2024-01-23,dry,10,25,10:25,4.0,10.8,7.9,False,0.0,Closed Container,29.7,60.1,24.3,0.12,32.52,Rejected
F007,Farmer G,expert,Ratnapura,5.0,400,2024-01-23,dry,4,2,4:02,1.7,2.8,1.9,True,9.2,Closed Container,28.3,68.8,18.7,0.0198,37.51,Grade 1
F007,Farmer G,expert,Ratnapura,5.0,400,2024-01-23,dry,4,18,4:18,2.4,3.9,3.6,True,6.1,Closed Container,29.5,70.9,25.0,0.0344,36.8,Grade 2
F008,Farmer H,moderate,Galle,2.5,180,2024-01-24,dry,6,24,6:24,2.6,4.6,6.6,True,5.7,Closed Container,29.4,67.7,29.6,0.051,34.57,Grade 3
F003,Farmer C,beginner,Ratnapura,1.5,100,2024-01-24,dry,7,5,7:05,5.8,13.5,5.8,False,0.0,Open Container,27.1,63.5,22.7,0.12,34.92,Rejected
F008,Farmer H,moderate,Galle,2.5,180,2024-01-24,dry,5,5,5:05,2.7,8.0,7.4,True,4.6,Bucket,31.2,60.4,17.1,0.081,36.34,Rejected
F007,Farmer G,expert,Ratnapura,5.0,400,2024-01-24,dry,4,34,4:34,1.7,1.4,2.9,True,3.3,Closed Container,28.5,66.8,6.2,0.0204,39.59,Grade 1
F002,Farmer B,moderate,Kegalle,3.0,200,2024-01-24,dry,6,41,6:41,3.4,6.7,6.1,True,5.4,Closed Container,29.9,64.5,0.6,0.0656,35.87,Grade 3
F005,Farmer E,moderate,Kalutara,2.0,150,2024-01-24,dry,8,59,8:59,3.3,5.2,1.5,True,4.4,Closed Container,29.3,63.2,15.1,0.0648,33.51,Grade 3
